50 dặm	fifty-mile
kinh nghiệm	experience
kinh sợ	dread, awe
kinh tạ ơn	benediction
Kinh Thánh	bible, scripture
kinh tởm	disgust
kịp	on time
Kitô	Christ
ký	to sign, kí(kilogram)
kỳ	incidence
kỹ	careful; painstaking
kỷ	small table
kỵ binh	cavalry
kỳ cựu	veteran
ký hiệu	denotation
kỷ luật	discipline
kỹ luật 	discipline
kỷ luật tự giác	self-discipline
kỹ lưỡng 	careful
kỹ năng	skill
kỳ nghỉ	vacation, holiday
kỷ niệm	memory, commemorate
kỳ quái	eerie
ký sinh trùng	parasite
kỹ sư	engineer
kỳ thi vấn đáp	quiz
kỹ thuật	technical
ký túc xá	dormitory
la	to shout; a mule
lá	leaf
là	is/are, equal to
lã	plain (water)
lả	exhausted
lạ	strange, weird
la 	yell
la bàn	compass
la cà 	loiter, linger, wander
lá cờ	flag
la hét	scream
lạ lùng	queer, strange, perculiar
la mắng	scold
lá phiếu	ballot
là thói thường	wonted
lá thư từ chức	resignation letter
là ủi	iron
lắc	shaken
lạc	to lose trace; to stray; to misplace
lạc đà	camel
lạc đề	digress
lạc hậu	old-fashioned, backward
lắc lư	to rock (motion)
lắc mạnh	agitate
lạc quan	optimistic
lách	spleen; to dodge; to swerve
lạch	creek
lách 	spleen
lai	crossbred
lài	slight sloped; Jasmine
lãi	interest
lại	again, return, around
lai 	crossbred, mix breed
lái 	drive
lãi suất	interest
lái xe	drive a vehicle
lái xe chó	drive sled dog 
lam	indigo-blue; deep blue
làm	do, make, cause
lăm	number 5 ending of a multiple digits (ex: 15, 25..)
lấm	stained
lầm	mistaken
lắm	very, many 
làm ấm	cosy
lẩm bẩm	mumble
làm bắn	splash
làm bẩn	smudge, befoul
làm bị thương	injure
làm biến dạng	deform
làm bối rối	discomfit, baffle
làm bớt	allay
làm cáu kỉnh	disgruntle
làm cháy sém	scorch
làm chệch hướng	deflect
làm cho buồn phiên	aggrieve
làm cho đầy lại	refil
làm cho phù hợp	match
làm chủ	own
làm chứng	testify, witness
làm đánh lạc hướng	distract
làm đau đớn	afflict
làm đen	blacken
làm dịu	soothe
làm đố	spill
làm đố nát	dilapidate
lạm dụng	abuse
làm gãy	break(up)
làm gì	what for(at the end of sentence)
làm giảm	reduce, detract
làm giảm bớt	alleviate
làm giảm độ ẩm	dehumidify
làm giãn	stretch
làm giàu	enrich
làm giẩy nảy người	electrify
làm hoảng sợ	frighten
làm hỏng	ruin
làm hư hỏng	spoil
làm khiếp sợ	awesome
làm khô nẻ	parch
làm kinh ngạc	amaze
làm lạnh	chill
làm lễ kỷ niệm	celebrate, commemorate
làm lóa mắt	dazzle
làm loãng	dilution
làm lu mờ	tarnish, efface
làm lúng túng	abash
làm mất nước	dehydrate
làm mất ốn định	destabilize
làm mất thể diện	abase, lose face
làm mới	renew, refresh
làm nặng thêm	aggravate
làm ngạc nhiên	astonish
làm ngập nước	drowse
làm nghẹt thở	choke
làm ngớ ngẩn	befuddle
làm ngột thở	smother
làm ngừng hoạt động	deactivate
làm nguội	to cool
lảm nhảm	babble
làm nhột	tickle
làm nhục nhã	reproach
làm ốm đau	ail
làm ơn	please
lạm phát	inflation
làm phát ngấy	cloy
làm phật ý	vexation, make someone not pleased
làm phiền	bother, annoyance
làm phiền muộn	depressed
làm quen	acquaint, accustom
làm rõ	clarity, clarify
làm rối	tangle
làm rung chuyển	convulse
làm sạch	purify
làm sai	botch
làm sáng	lightening, brighten
làm sao	how
làm sao thế	alright?
làm sao?	how?
làm sâu sắc	deepen
làm say đắm	captivate, bewitch
làm se	astringent
làm sống lại	revive
làm suy giảm	depress
làm tan	thaw
làm tăng thêm	augment
làm táo bón	constipate
làm tê liệt	numb
làm thành thô	coarsen
làm thất vọng	deject
làm thế nào	how
làm trật bánh	derail
làm trầy	abrade
làm tròn	rounding off
làm trọn	acquit
làm trục trặc	derange
làm u ám	darken
làm ướt sũng	drench
làm vất vả	drudge
làm vệ sinh	sanitate
làm việc	work
làm vui	amuse
làm yếu đi	weaken
lan	spread
lăn	roll
lần	(a) time, incidence
lằn	stripe, line mark, lane
lẫn	doting; forgetful
lẩn	hide, avoid
lặn	dive
lặn 	dive
lan can	banister
làn đường	lane
lần lượt	one by one 
lan rộng	widespread
lan tràn	overrun, overflow
lẫn vào	mingle
lang	wild dog
láng	smooth; glossy
làng	village
lăng	shrine
lắng	(of liquid) to deposit, to settle
lảng	to slip away; to sneak away; to turn away
lặng	silent, calm
lắng 	settle down
lặng 	settle down
lang bạc	wandering
lãng phí	waste
lang thang 	wandering
lãng trí	forgetful
lanh	quick, sharp (behavior)
lành	kind, well, healed
lạnh	cold
lành 	good natured
lãnh đạo	to lead
lạnh giá	frosty
lạnh hơn	colder
lanh lẹ	alert, agile
lạnh lẽo	chilly
lạnh lẽo 	cold
lanh lợi	shrewd
lạnh lùng	stern, cold
lành mạnh	wholesome
lãnh sự	consular
lãnh sự quán	consulate
lãnh thố	territory
lảnh thổ	demesne
lao	plunge
láo	lie
lào	Laos
lão	old
lao động	labor
lao vào	plunge, to rush in
lao xuống	dive
lấp	fill
lắp	install
lập	organize, founding, form
lấp 	fill
lập 	to form (a group, company...)
lấp đầy	fills
lập dị	eccentric
lặp lại	repeat
lấp lánh	sparkle, glitter
lắp ráp	reassemble
lát	pave
lạt	plain (taste)
lặt	to pick off vegetable leaves
lật đổ	overthrow
lát, miếng mỏng	slice
lau	wipe
làu	long
lâu	a long time
lâu dài	enduring
lâu/dài	long
lâu/dài hơn	longer
láy	to repeat; to reiterate
lây	contagious
lấy	fetch, take, get
lầy	swampy
lạy	to kowtow
lay động	dither
lấy được	derive
lấy lại	retrieve, regain
lây lan, tỏa lan	spread
lầy lội	boggy
lây nhiễm	infect
lấy vợ	get married
lê	pear; to drag on the ground
lẽ	reason
lề	margin, side edge
lễ	ceremony
lẻ	single, odd in number, alone
lệ	tear; regulation
lề đường	wayside
lễ hội	festive
lễ kỉ niệm	memorial
lễ kỷ niệm	anniversary
lễ kỷ niệm một trăm năm	centenary
lẽ phải	right reasons
lệ phí	fee
lễ rửa tội	baptism
lệch hướng	wrong way
lệch lạc	deviant
lem	to smudge; dirty
len	wool; to move among
lên	up
lẻn	sneak
lên 	up/on to
lên án	denounce, condemn
lên cao	surging
lên dây	windup
lên dốc	uphill
lên giường	go to bed
lên ngôi	accession
lên trên	aboard
lên trời	skyward
lệnh	command
lệnh giới nghiêm	curfew
leo	climb, creep
lẽo	not straight ; unstraight
lẻo	climb; to cut neatly
lết 	to drag oneself on the ground
lều	tent
lều 	tent
lêu lống 	idle, wandering about
lều?	tent?
lìa	cut off
lịch	calendar
lịch sự	polite
lịch trình	schedule
liếc qua	glance
liếm	lick
liềm	sickle, reaping-hook
liếm 	lick
liền	consecutive; (of wound) to heal; to skin over
liên hệ	contact
liên hợp	conjugate
liên kết	link, conjunction
liên lạc	communicate
liên minh	confederate, alliance, coalition
liên quan	relevant, concern, relate
liên quan đến	concerning
liên tiếp	continuity
liên tục	continuous, constant
liệng 	throw
liệt 	paralyze, to list
liệt giường	bedfast
liều	dosage
liệu	data; to manage; to calculate
liều (thuốc)	dose
liều lượng	dose
liệu, dù	whether
lim	ironwood
lính	soldier
lính cứu hỏa	fireman
lính cứu thương	medic
linh hoạt	versatile, flexible
linh mục	priest
lính trinh sát	scout
lĩnh vực	field, realm
lo	to bother; to worry; to attend to
lô	lot, parcel
lố	hole
lỗ	hole
lơ	to dissemble; to ignore
lọ	jar, vase
lờ	to pretend not to know; to cut
lỡ	to miss; to fail; to lose
lở	have a skin eruption, rash, eczema
lo 	worry
lộ 	street, to be discovered
lo âu	anxious, worry
lờ đi	overlook
lô hàng	parcel of good
lô hội	aloe
lo lắng	anxious, worry
lơ lửng	floating back and forth, undecisive
lỗ mãng	blunt
lò mố	butchery
lờ mờ	bleary
lỗ mũi	nostril
lò nướng	bakery
lò sưởi	fireplace
lố tai	ear
lỗ thông hơi	vent
lo tính 	concern
lô trống	vacant lot
lò xo	a springing coil
loa	speaker; horn; megaphone
lòa	dim
loài	kind; gender ; specied
loại	assortment, kind
loài 	specied, kind
loại bỏ	discard, eliminate, rid, remove
loài gây hại	pest
loài giống	breed
loài linh dương	antelope
loại trừ	exclude
loạn	to be in disorder
loạn 	chaos
loáng	flash, (of time) fly by, pass swiftly
loạng choạng 	staggered
lóc	to dissect; to cut up
lộc	(bot) bud
loè	to bluff
lóe 	flash
lóe lên	flare
lóe sáng	flash
loét	ulcer, (infection) eaten up
lôi	to pull, to drag
lõi	core
lối	style; way; manner
lồi	bulge out; prominent
lỗi	error, fault
lời	words, profit
lội	to swim; to wade
lợi	beneficial; to do good to
lợi 	interests
lời bình luận	commentary
lời cầu xin	plea
lời chào tạm biệt	good bye
lời chia buồn	condolence
lôi cuốn	fetching, pull in, attracting
lời giới thiệu	introduction
lời hứa	promise
lời hứa hôn	engagement promise
lợi ích	benefit
lời khen	compliment
lời khuyên	advice, counsel
lồi lên	bulging
lời mời	invitation
lời nguyền	curse
lời nhạc	lyrics
lời nhắc nhở	reminder
lợi nhuận	profit
lời nói đầu	preamble
lối ra	egress, exit
lợi thế	advantage
lỗi thời	outdated
lôi thôi 	untidy, unorganized
lời tiên đoán	divination, prediction
lời tuyên thệ	oath
lối vào	entrance
lõm	deep-set; sunken (eyes)
lốm đốm 	covered with spots
lớn	massive, big, large
lộn	to mistake; to confuse; to confound
lợn	pigs
lớn hơn	larger, greater
lớn lên	grow
lợn lòi đực	boar
lớn trưởng thành	full-grown
lộn xộn	mess, fuss, unorganized, problematic
lòng	lap
lông	fur
lồng	cage
lỏng	liquid
lọng	parasol
lòng biết ơn	gratitude
lông chim	quill, feather
lông gáy	mane
lòng ham muốn	lust, hunger for
long lanh	glitter
lóng lánh như bạc	silvery
lộng lẫy	splendid
lỏng lẻo	loose
lông mày	eyebrow
lông thú	fur
lòng thương	compassion
lòng thương xót	mercy
lông tiếng	dub
lòng trung thành	allegiant
lòng 	heart; soul; mind
lông, tóc	hair
lốp	tire
lớp	course, class, grade, level
lợp	to cover; to layer (a roof)
lớp học	classroom
lớp vỏ	crust
lọt	to fall into
lột	to skin; to peel off
lọt lòng	just out of womb
lột trần	denude
lũ	a crowd, flood, (group classifier put-down)
lư	urn
lữ đoàn	brigade
lũ lụt	flood
lũ trẻ	kids
lúa	(bot) rice; paddy
lụa	silk
lừa	fool, trick
lửa	fire
lừa 	to trick, a donkey
lửa 	fire
lừa bịp	deception
lựa chọn	choose
lừa đảo	abusive
lừa dối	delude, cheat
lừa gạt	deceive
lúa mạch	barley
lúa mì	wheat
lửa mừng	bonfire
lứa tuối	age
lùa vào bãi quây	corral
luận	essay
luận cứ	argument
luật	law; rule; code; regulation
luật 	law
luật chung	general rule
luật đa số	majority rule
luật sư	lawyer, attorney
lúc	at; moment; while
lực	force; strength
lực 	force, strength
lục địa	continent
lực hấp dẫn	attraction
lúc lắc	wag
lực lượng	force
lực lượng không quân	air force
lúc nào 	at which time
lui	back; to move back; to fall back
lủi	to slip a way
lụi	get stunted, wither away
lùi 	back
lùi lại	aback
lùi trở lại	aback
lúm đồng tiền	dimple
lùn	dwarf
lùng	scour
lưng	back 
lừng	resound
lung linh	flickering, dreamlike
lung tung	desultory, all over the place
luộc	boiled
lược	to prune; to baste
lưới	grid; net
lười	lazy; slothful
lưỡi	tongue, blade (sharp object)
lười 	lazy
lười biếng	lazy
lưỡi lê	bayonet
lưỡi liềm	crescent
lười nhác	to loaf
luôn	always, perpetual
luồn	threaded; to pass through
lượn	to soar; to hover; to glide
luồn 	to pass through by lower the body
luôn luôn	always
luống	vegetable and plantation bed/row
luồng	jetstream flow of air/wind/water
lương	salary; pay; wage
lượng	quantity
luồng 	flow stream
lưỡng cực	dipole
luồng gió	wind flow
lương hưu	pension
luồng khí	airflow
luồng khói	smoke flow
lương tâm	conscience
lương thực	ration
lướt	glide
lượt	time; turn
lượt 	a turn/instance , to filter
lụt	flood; inundation
lưu	save
lưu đày	exile
lưu thông	circulatory
lưu trữ	store
lưu vực	basin
lũy	rampart
luyến	long for, be reluctant to part with (to leave)
luyện	to train; to drill
luyện 	to train
luyện chó	dog-breakin'
ly	glass
lý	reason; ground
ly dị	divorce
lý do	reason
ly hôn	divorce
ly hợp	clutch
lý luận	logical reason(ing),
lý tưởng	ideal
ma	phantom
má	cheek, mother 
mà	that, which
mã	code
mả	tomb; grave
mạ	rise seeding 
mà 	that
ma quỉ	fiend
ma quỷ	diabolic, devil
mã số	code
ma tuý	narcotic
mắc	busy; occupied; engaged
mạc	screen ; curtain
mặc	wear; to ignore
mắc 	expensive, stuck with
mặc cả	bargain
mặc định	default
mặc dù	despite, although
mặc kệ	who cares, just ignore/leave (one)
mặc kệ 	ignore(d)
mặc khải	revelation
mặc quần áo	put on clothes
mách	to sneak; to tell tales
mạch	pulse
mạch lạc	coherent
mai	tomorrow; carapace; spade
mái	roof
mài	to whet ; to sharpen
mãi	 a long time; always for ever; for good; unceasingly, all the time; all the way
mái 	roof
mãi 	continuously
mái chèo	oar
mại dâm	prostitute
mãi mãi	forever, eternal
mài mòn	abrasion
mái nhà	house roof
mái vòm	dome
mâm	tray
mầm 	germ seed, bud
màn	rug
mận	plum
màn hình	screen
man rợ	savage, barbaric, barbarian
mãn tính	chronic
mang	bring, carry
máng	ditch
măng	bamboo shoot
mắng	chide
mảng	array
mạng	web
mang 	carry
mạng che mặt	veil
mang lại	bring
mạng lưới	net
mắng mỏ	berate
màng ngăn	diaphragm
mạng nhện	cobweb
màng nhĩ	eardrum
mang thai	pregnant
mảnh	piece
mạnh	strong
mánh khóe	trick
mảnh mai	slender
mạnh mẽ	vigorous, drastic, powerful, robust
manh mối	clue
mảnh vụn	wreckage, debris, splinter
mao	hair, fur (lông mao)
mào	comb; crest (of bird)
mạo hiểm	adventurous
mao mạch	capillary
mập mờ	ambiguous
mát	cool
mất	loss
mắt	eye
mạt	mites
mật	bile
mặt	face
mắt cá chân	ankle
mặt đất	ground
mặt đen	black-faced
mắt đỏ	red-eyed
mắt kính	eye glass
mặt lò sưởi	mantel
mát mẻ	cool
mắt nhìn 	eyes look
mật ong	honey
mất tinh thần	dismay, mentally set back
mặt trăng	moon
mất trí	demented
mặt trời	sun
mau	quick
máu	blood
màu	color
mẫu	specimen, sample
mẫu Anh	acre
màu be	beige
màu da cam	orange
màu đen	black
màu đỏ	red
màu đỏ tươi	scarlet
màu đồng	bronze
màu hồng	pink
màu mỡ	fertile
màu nâu vàng	auburn
màu sắc	color
màu tía	purple
màu trắng	white
màu vàng	yellow color
mẩu vụn	crumb
màu xám	gray
màu xanh	blue
màu xanh lá cây	green
máy	machine
mày	you
mây	cloudy
mấy	how much; how many; what; how?
may 	sew
mấy 	some
máy bay	aircraft, airplane, plane
máy chụp ảnh	camera
máy cưa lớn	saw-mill
máy đếm	counter
máy dò	detector
máy giặt	washer
máy kéo xích	caterpillar
may mắn	luck
máy may	sewing machine
máy nén	compressor
máy rửa bát	dishwasher
máy tính	calculator, computer
máy tính xách tay	notebook
mé	edge; border
mê	to faint; to lose consciousness
mẻ	chipped
mẹ	mother
mẹ chồng	husband's mother
mê mẩn	dote, infatuated
mê sảng	delirium
mẹ vợ	wife's mother
mềm	squishy, soft
mềm hơn	softer
mến	to love; to like; to be fond of
mến yêu 	love
mệnh	lot, fate; fortune
meo	musty
mèo	cat
mèo con	kitten
mèo hoang	wildcat
mép	edge; border ; margin
mép 	edge, border
mép bàn	edge of the table
mệt	tired; fatigued; weary 
mệt 	tired, exhaust
mệt mỏi	weary, wan, fatigue
mí	edge
mì	noodle
mí mắt	eyelid
mía	cane
miễn	to exempt; to excuse; to forgive
miễn cưỡng	reluctant
miễn nhiệm	dismiss
miễn phí	free, no charge
miễn thuế	exempt, tax free
miễn trách nhiệm	absolve
miếng	piece
miệng	mouth
miếng 	piece, a bite
miếng da bao cố tay	wristband
miếng gố	piece of wood
miệng núi lửa	crater
miếng to	dollop
miếng vụn	crumb
miết	jam
miếu	temple; shrine
miêu tả	depict
mịn	smooth
mình	me, you, we(us) between close friends or endearing pronoun to a lover or spouse
minh họa	illustrate
mít	jack
mô	tissue
mõ	wooden bell, bamboo tocsin
mố	peck
mồ	tomb; grave
mỏ	mine, beak
mớ	cot; to talk in one's sleep
mờ	blur, blurry
mỡ	fat; grease
mộ	grave
mở	open
mợ	aunt (wife of mother's younger brother)
mơ 	dream, apricot (fruit)
mớ 	a bunch of, sleep talking
mồ côi	orphan
mô của cơ bắp	tissue
mở đầu	prelude
mở hé	ajar
mô hình	pattern
mơ hồ	vague
mơ hồ 	vague
mò mẫm	grope
mờ mịt	dreamy
mơ mộng	daydream
mỏ neo	anchor
mờ nhạt	faint
mờ nhạt nhất	faintest
mô phỏng	simulate
mở ra	open
mở rộng	open wide, broaden, expand, extend
mô tả	descriptive, describe, description
móc	hook; crotchet; clasp
mốc	landmark
mọc	uprise
mộc	acoustic
môi	lip
mối	termite
mồi	bait
mỗi	every, each
mỏi	weary, tired
mọi	all; every
mới	new, just(happen)
mời	invite
mỏi 	weary
mọi 	all
mới 	new, just (action)
mối ác cảm	grudge
mới bắt đầu	just begin
mối đe dọa	threat
môi giới	brokerage, broker
mối hàn	weld
mối lo âu	anxiety
mỏi mòn	worn-out
mới nên	right thing
mối nguy	hazard
mối nguy hại	mischief
mới nhất	last
mối nối	junction
mối quan hệ	relationship
môi trường	environment, surrounding factors
mới vừa	just (happen)
mõm	snout; muzzle
mồm	mouth
mồm đọc	read mouth
món	item
mòn	to wear
môn	band, gang, elique
mọn	tiny, very small
món ăn	dish
môn đồ	disciple
món nợ	debt
món tráng miệng	dessert
mong	hope
móng	nail
mông	buttock
mỏng	slim, thin
mong 	hope
mộng 	a dream
móng chân	toe nail
mong đợi	expect
mong manh nhất	most fragile
mong muốn	desire
mốt	mode
mọt	wood-borer; woodeater
một	a, one 
một cách	in a (adjective) way; adverb
một cách ác ôn	grimly
một cách an toàn	securely, safely
một cách an ủi	appeasingly
một cách bằng nhau	equally
một cách bất thường	unusually
một cách bí mật	secretly
một cách bình tĩnh	calmly
một cách bộc trực	plainly, directly
một cách buồn bã	sullenly
một cách cấm tuyệt	forbiddingly
một cách can đảm	bravely
mọt cách cẩn thận	gingerly, carefully
một cách cần thiết	necessarily
một cách cảnh giác	keenly
một cách cao	highly
một cách chắc chắn	securely, solidly
một cách cô đơn	lonely
một cách cố ý	deliberately
một cách công khai	openly
một cách đặc biệt	particularly, specially
một cách đắc thắng	triumphantly
một cách đau đớn	painfully
một cách đầy đủ	fully
một cách dễ dàng	easily
một cách đe dọa	menacingly
một cách đè nén	suppressedly
một cách đê tiện	despicably
một cách đều đặn	steadily, consistently
một cách điên cuồng	madly
một cách đơn giản	simply
một cách đột ngột	suddenly
một cách đứng đắn	seriously
một cách ê chề	sorely
một cách e thẹn	sheepishly
một cách giận dữ	furiously
một cách hân hoan	joyfully, gleefully
một cách háo hức	eagerly
một cách hào hứng	excitedly
một cách hào phóng	generously
một cách hấp dẫn	appealingly, attractively
một cách hiểm ác	wickedly
một cách hiếm hoi	rarely
một cách hoàn toàn	completely
một cách huyên náo	uproariously
một cách khôn ngoan, tính toán	shrewdly
một cách không thương tiếc	mercilessly
một cách khủng khiếp	horribly
một cách kiên cố	fortified solidly
một cách kiên quyết	resolutely
một cách kín đáo	slyly
một cách kinh khủng	frightfully
một cách kịp thời	promptly
một cách lạ lùng	strangely
một cách lạnh lùng	coldly
một cách lặp đi lặp lại	repeatedly
một cách liên tục	constantly, continually
một cách lờ mờ	dimly, shadily
một cách lỏng lẻo	loosely
một cách ma quái	ghostly
một cách man rợ	savagely
một cách mãnh liệt	crushingly
một cách mạnh mẽ	mightily
một cách mau lẹ	speedily
một cách mềm mại	softly
một cách miễn cưỡng	involuntarily
một cách mịn	finely
một cách nặng nề	heavily
một cách ngay thẳng	plainly, directly
một cách nghi ngờ	dubiously
một cách nghiêm trọng	gravely
một cách ngố nghịch	unruly
một cách ngoan ngoãn	docilely
một cách nhân nhượng	appeasingly
một cách nhanh chóng	rapidly, swiftly
một cách nhẹ nhàng	gently
một cách nhiệt tình	enthusiastically
một cách nhục nhã	shamefully
một cách nồng nhiệt	warmly
một cách ốn định	steadily, settled
một cách phản bội	treacherously
một cách phấn khởi	exultantly
một cách placatingly	placatingly
một cách quyết liệt	fiercely
một cách sắc bén	sharply
một cách sang trọng	luxuriously
một cách suất xắc	remarkably
một cách tàn ác	savagely
một cách thân thiện	friendly
một cách thận trọng	warily, cautiously
một cách thành thật	truly, sincerely
một cách thiếu suy nghĩ	thoughtlessly
một cách thoải mái	comfortably
một cách thường xuyên	frequently
một cách tinh khôn	cunningly
một cách tính toán	in a calculating way
một cách tinh xảo	craftily
một cách to lớn	greatly
một cách tò mò	curiously
một cách tròn trặn	roundly
một cách trực tiếp	directly
một cách trung thành	faithfully
một cách trung thực	honestly
một cách tự nhiên	instinctively
một cách tự tin	confidently
một cách từ từ	slowly
một cách từ xa	remotely
một cách tương đối	comparatively
một cách ung dung	coolly
một cách vô ích	futilely
một cách vô tình	unwittingly, heartlessly
một cách vô vọng	abjectly, hopelessly
một cách vô ý	accidentally
một cách vu vơ	aimlessly
một cách vuông vắn	squarely
một cách xuất sắc	preeminently
một cách xứng đáng	worthily
một cách yếu ớt	weakly
một cái gì đó	something
một chút	a bit
một gia tộc	a family
một hàng	a row
một hôm	one day
một lần	one time, once
một lần nữa	again
một loại dâu	berry
một lớp	a class
một mình	alone, oneself
một nửa	half
một phần	part
một số	several, some
một tá	dozen
một vài	some
một vài nơi	a few places
mù	blind
mũ	hat; cap; bonnet
mủ	mother
mù 	blind
mù tạt	mustard
mua	purchase, buy
mùa	season
mưa	rain
mùa đông	winter, wintry
mưa rào	downpour
mùa thu	autumn
mưa tuyết	sleet
mùa xuân	spring season
múc	scoop, ladle soup out into bowls
mục	section
mực	squid
mục 	an article section, to rot(wood, bone...)
mục đích	purpose, aim
mục nát	corrupt
mục rữa	decay
mục sư	pastor
mục tiêu	target, objective
mùi	odor, smell
mũi	nasal, nose
mũi đất	cape
mũi nhọn	wedge
mùi tanh	fishy smell
mũi tên	dart, arrow
mũm mĩm	chubby
mụn có	wart
mụn trứng cá	acne
mừng	to rejoyce; to congratulate
mừng 	greet
muối	salt
muỗi	mosquito
mươi	(denoting the tens)
mười	ten
mười 	ten
mười ba	thirteen
mười bảy	seventeen
mười bốn	fourteen
mười chín	nineteen
mười hai	twelve
mười năm một lần	decennial
mười sáu	sixteen
muôn	ten thousand
muốn	want
muộn	tardy, late
mướn	to hire; to rent
mượn	to borrow
mương	trench
mụt	boil
mứt	jam, sugar-coated fruit, sugar - preserved fruit
mưu	scheme; plot; conspiracy
Mỹ	America
mỹ thuật	art
na	to tole; to bring
na ná	akin, alike
nạc	lean meat
nách	armpit
nai	deer
nài	to mind
nài xin	plead
nam	male
năm	5, year
nấm	mushroom
nắm	grip, squeeze
nằm	lay
nắm bắt	seize, grasp
nam châm	magnet
nắm chặt	grip
Nam cực	antarctic
nắm đấm	fist
nam diễn viên	actor
năm mươi	fifty
nằm sóng soài	lying flat motionless
nắm tay	fist
nam tuwocs	baronial
nan	difficult
nắn	to mould; to model; to set
nạn	danger; calamity; disaster
nạn 	crisis
nạn đói	famine
nạn nhân	victim
nắn nót 	tedious care
nang	(anat) follicle; follicule
nàng	she; her 
nâng	to raise
năng	frequently, often, many a time
nắng	sunshine
nặng	heavy
nâng 	elevate
năng 	frequent, often
nắng ấm	sun-kissed
nâng cao	raise
năng động	active
nâng lên	elevate
nâng lên 	raise to
nặng nề	burdensome
năng suất	capacity, yield
nanh	fang, canine
nào	which, uncertain 
não	brain
nạo	to scrape; to clean; to clean out
náo loạn	chaos
nào?	which?
nắp	lid
nát	crushed
nát 	crushed
nâu	brown
nấu	cooking
nấu ăn	cook, cuisine
nấu chậm	brewing
nâu đốm	brindle
nấu sôi	simmer
nay	now; at present; at this time
này	this
nãy	just ago
nấy	that [person]; that [thing]
nầy	this (same as: này)
nảy	bouncing
nay 	this
này đây	hey this
né	dodge
nê	flimsy pretext
nề	smooth (mortar)
nẻ	cracked; chapped; choppy
nể	to respect;to have sonsideration for
né tránh	dodge
ném	pitch, throw, cast, toss
nén	compress
nên	should
nến	candle
nền	background
nến 	candle
nền 	background, floor
nền kinh tế	economy
nền tảng	basis
nền văn minh	civilization
nẻo	way; direction
nép	to crouch
nếp	fold, crease
nếp nhăn	wrinkle, crease
nét	stroke; line (of pen); line
nết	habit, behaviour
nét 	stroke
nết na 	proper and sweet
nếu	if
nêu 	stated
nếu không	otherwise
ngã	to fall; to tumble down
ngả	way; direction
ngã 	fall
ngả 	lean
ngã bất thình lình	tumble
ngắc	get stuck, get held up
ngài	bombycid moth
ngâm	soak
ngăm	tawny complexion
ngầm	secret, underground ; tacit
ngắm	to contemplate;to look at admire oneself
ngăm 	dark complexion
ngấm 	slowly feeling the effect, water soaking effect
ngầm 	underground, hidden
ngắm 	watch
ngấm ngầm 	implicit, hidden
ngàn	thousand
ngăn	compartment
ngắn	short
ngẩn 	silly, dumbfound
ngăn cản	discourage
ngăn chặn	halt, prevent, deter
ngắn gọn	brief, concise
ngân hàng	bank
ngắn hơn	shorter
ngăn kéo	drawer
ngần ngại	hesitate
ngạn ngữ	adage, proverb
ngân sách	budget
ngang	horizontal
ngẩng	lift, raise (neck, head, face); (look up: ngửng)
ngẩng 	lift/raised look
ngang ngạnh	defiant
ngang qua	across
ngạnh	barb
ngành công nghiệp	industry
ngành hàng không vũ trụ	aerospace
ngạo	to scoff; to laugh at
ngáp	yawn
ngập	flooded; submerged; inundated
ngáp 	yawn
ngập 	flooding, overflow
ngất	faint, swoon, become onconscious
ngắt	disruption
ngặt	strict, stringent, rigorous
ngấu nghiến	devour
ngẫu nhiên	random
ngay	direct; straight
ngáy	snore
ngày	day 
ngay bây giờ	right now
ngay cả	even
ngày chủ nhật	Sunday
ngày hội	carnival
ngay lại 	right back
ngay lập tức	right away, immediate
ngày mai	tomorrow
ngày nay	nowadays
ngay ngắn	neatly
ngây ngất	ecstasy, euphoria, seventh heaven
ngay sát	adjacent
ngày sinh nhật	birthday
ngay thẳng	straight
ngày tháng	date
ngây thơ	naive, innocent
ngày trong tuần	weekday
nghe	listen, hear
nghề	work; craft; occupation; profession; business; trade
nghệ	(bot) saffron; croeus
nghe lỏm	eavesdrop
nghề nghiệp	occupation
nghe rõ	audible
nghệ sĩ	artist
nghề thủ công	craft
nghệ thuật	artistic, art
nghệ thuật cắt dán	collage
nghe trộm	eavesdrop, bugging
nghênh	look round, look about one
nghèo	poor
nghèo đói	poverty
nghèo hơn	poorer
nghẹt thở	choke
nghi	to doubt; to suspect
nghĩ	thought, think
nghỉ	to rest; to repose; to take a rest
nghỉ 	rest
nghỉ giải lao	recess
nghi ngờ	doubt
nghĩ ngợi	think, ponder, lost in thought
nghỉ ngơi 	rest
nghĩ ra	devise
nghi thức	ceremonial
nghĩa	dense; meaning; impont
nghĩa 	means; a bond
nghĩa là	means
nghĩa trang	cemetery
nghĩa vụ	obligation
nghịch	contrary; opposite; reverse
nghịch lý	paradox
nghịch từ	diamagnetic
nghiêm	strict; grave; stern
nghiêm 	serious, strict
nghiệm 	mentally verify base on experience
nghiêm khắc	stern
nghiêm ngặt	rigorous
nghiêm trọng	serious, grave, severe
nghiến	grinding
nghiện	addict
nghiền 	crushed
nghiên cứu	research
nghiên cứu sâu	delve
nghiện rượu	alcoholism
nghiêng	tilt
nghiêng về	prone
nghiệp	fate
nghiệt	too severe, too strict
nghiệt ngã	grim
nghìn	thousand
nghịt	dense, deep
ngìn	thousand
ngo	dainty
ngó	to see; to look at
ngô	corn
ngõ	gate; alley
ngơ	ignore, overlook, let pass, connive
ngọ	midday, zodiac year of the horse
