a	một
history	lịch sử
hit	đánh
hitch	xô
hitching	cái giật mạnh bất ngờ; đi nhờ xe
hitting	đang đánh
hoarse	khan giọng
hobby	sở thích
hoisted	đã kéo, treo lên
hold	cầm giữ
holding	giữ
holds	giữ
hole	lổ
holes	lỗ
holiday	kỳ nghỉ
hollow	ôm ốm
holy	thánh
home	nhà, quê hương
homemade	tự làm
homesick	nhớ nhà
hometown	quê hương
homework	bài tập về nhà
homicide	hành động giết người
honest	trung thực
honestly	một cách trung thực
honey	mật ong
honeycomb	hình rỗ tổ ong
honeymoon	tuần trăng mật
honked	bấm kèn
honor	vinh hạnh
honorable	có tính danh dự
honored	đã vinh danh
hoof	móng guốc
hoofs	móng, đá bằng móng, cuốc bộ
hook	cái móc
hoop	vành đai
hope	mong
hoped	hy vọng
hopeless	vô vọng
horizon	chân trời
horizontal	ngang
horn	còi
horns	sừng
horrible	khủng khiếp
horribly	một cách khủng khiếp
horror	sự kinh dị
horse	ngựa
horse racing	đua ngựa
horse-hide	da ngựa
horses	những con ngựa
hospital	bệnh viện
host	chủ nhà
hostage	con tin
hostile	thù địch
hot	cay, nóng
hotel	khách sạn
hound	chó săn
hour	giờ
hours	những giờ
house	nhà
house arrest	quản thúc tại gia
house-dog	chó nhà
household	hộ gia đình
housekeeper	người quản gia
housemaids	người ở
housewife	người nội trợ
how	làm sao
however	tuy nhiên
howl	tru
howled	đã tru
howling	đang tru
hug	ôm
huge	to lớn
hum	bay o o
human	con người
humans	những con người
humble	khiêm tốn
humid	ẩm ướt
humor	hài hước
hundred	100
hundreds	hàng trăm
hundredweight	tạ
hung	đã treo
hunger	cơn đói
hunger-madness	cơn đói điên rồ
hungry	đói
hunt	săn
hunted	săn bắn
hunter	thợ săn
hunters	thợ săn
hunting	đang/cuộc săn bắn
hunting-knife	dao thợ săn
hunts	săn lùng
hurled	đã ném
hurling	ném
hurricane	bao
hurried	đã gấp rút
hurriedly	vội vàng
hurry	nhanh, gấp gáp
hurt	đau
hurting	đang làm tổn thương
husband	chồng
husband's	của chồng
huskies	những chó Ét-ki-mô
husky	chó Ét-ki-mô
hustle	xô đẩy, chen lấn
hut	túp lều
hybrid	ghép
hydrant	vòi nước
hypertension	tăng huyết áp
hypocritical	đạo đức giả
hysteria	thần kinh loạn
I	tôi
ice	băng
idea	ý tưởng
ideal	lý tưởng
identical	giống nhau
identification	nhận dạng
idiom	thành ngữ
idiot	thằng ngốc
idle	nhàn rỗi
idol	thần tượng
idols	những thần tượng
if	nếu
ignite	đốt cháy
ignominiously	một cách nhục nhã, đê tiện
ignore	phớt lờ
ignored	đã bỏ qua, phớt lờ
ill	đau, bệnh
I'll	tôi sẽ
illegal	bất hợp pháp
ill-tamed	đã bị thuần hóa
illuminate	chiếu sáng
illumined	đã soi sáng
illustrate	minh họa
I'm	tôi đang
I'm sorry	Tôi xin lỗi
image	hình ảnh
imagination	sự tưởng tượng
imagine	tưởng tượng
imagined	đã tưởng tượng
imitate	theo gương
imitation	sự bắt chước
immediate	ngay lập tức
immediately	một cách ngay lập tức
immoral	vô đạo đức
immortal	bất tử
impact	đụng chạm, tác động
impartial	vô tư, vô thiên vị
impatience	thiếu nhẩn nại
impatient	thiếu kiên nhẫn
impeach	buộc tội
impeachment	sự buộc tội
impede	cản trở
impediment	trở ngại
impelled	thúc đẩy
impending	đang sắp xảy ra
imperative	bắt buộc, quan trọng
imperiously	hống hách; độc đoán
imploringly	kêu nài
import	nhập khẩu
important	quan trọng
importuned	quấy rầy, nhũng nhiễu; đòi dai, nài nỉ
impossible	không thể
impress	gây ấn tượng
impression	ấn tượng
imprisoned	đã bị cầm tù
improper	không đúng
improve	cải thiện
improvise	chơi nhạc
impulse	sự bốc đồng, sự thúc đẩy
impulses	sự bốc đồng, sự thúc đẩy
in	trong
in order	để được
in the end	cuối cùng
inability	không có khả năng
inarticulate	không nói rõ ràng được, ú ớ
inauguration	khánh thành
incarnate	hiện thân
incarnation	sự hóa thân
inch	inxơ 2,54 cen ti mét
inches	những inxơ (Anh)
incident	chuyện ngẩu nhiên
incidentally	tình cờ
incline	dốc
inclined	đã nghiêng, thiên về
included	đã bao gồm
including	bao gồm cả
incoherent	không liên tục, không liền lạc
income	thu nhập
incompetence	không đủ sức, không đủ khả năng
incomprehensible	không thể hiểu được
inconceivably	không thể tưởng tượng
increase	tăng
increased	đã tăng
incurious	không hiếu kỳ
indeed	đã thực sự
indefinite	không xác định
independent	độc lập
indeterminate	lưỡng lự
index	chỉ số
index finger	ngón tay trỏ
India	Ấn Độ
indian	thổ dân
indicate	chỉ ra
indifferent	thờ ơ
indigestible	không tiêu
indirect	gián tiếp
indiscreet	không cẩn thận
indiscretion	sự không suy nghi
indispensable	không thể thiếu
individual	cá nhân
indoor	trong nhà
industry	ngành công nghiệp
inevitable	không thể tránh khỏi
inevitably	một cách chắc chắn
inexorable	không cảm động
inexperience	thiếu kinh nghiệm
infant	trẻ sơ sinh
infect	lây nhiễm
infinite	vô hạn
infinitely	một cách vô hạn
infinitesimal	cực nhỏ
inflammation	viêm
inflate	bơm phồng
inflation	lạm phát
influence	ảnh hưởng
inform	thông báo
information	thông tin
infrequent	ít xảy ra
inherit	thừa kế
inheritance	thừa kế
inherited	thừa kế
initial	ban đầu
injure	làm bị thương
injured	đã bị thương
inkling	một tí nào, một chút gì
innocent	ngây thơ
innocuously	kín đáo
innutritious	không có dinh dưỡng
inoffensive	không làm hại
insect	côn trùng
insensible	không cảm động
inseparable	không thể tách rời
insert	chèn
inside	trong
insides	bên trong
insidious	xảo quyệt
insist	nhấn mạnh, buộc
insisted	khẳng định, buộc
inspect	thanh tra
inspire	truyền cảm hứng
install	cài đặt
instance	trường hợp
instances	trường hợp
instant	trong khoảnh khắc đó, ngay lập tức
instantaneous	tức thời
instead	thay vì
instinct	bản năng
instinctively	một cách tự nhiên
instincts	những bản năng
instruction	sự hướng dẫn
instrument	dụng cụ
insubordination	tánh ngổ nghịch
insular	thiển cận
insulation	cách nhiệt
insult	xúc phạm
insurance	bảo hiểm
insure	đảm bảo
intelligence	trí thông minh
intend	định
intended	dự định
intense	cường độ cao, căng thẳng
intensely	mạnh mẽ, căng thẳng
intent	chủ ý
intention	ý định
intentions	những ý định
intentness	sự chăm chú cố ý
intercept	đánh chặn
interest	quan tâm, lãi
interested	quan tâm
interfere	can thiệp
interfered	đã can thiệp
interlacing	xen kẽ
internal	nội bộ
international	quốc tế
interpret	giải thích
interrupt	gián đoạn
interval	khoảng thời gian
intervals	khoảng thời gian
intimacy	sự thân mật
intimate	thân mật
intimated	gợi ý một cách thân mật
into	vào trong
intolerable	không chịu được
introduction	lời giới thiệu
introspective	nội tâm
invade	xâm lược
invaded	xâm lược
invaders	kẻ xâm lược
invent	phát minh
invention	phát minh
inventor	nhà phát minh
inventory	hàng tồn kho
invested	đã đầu tư
investigate	điều tra
invincible	bất khả chiến bại
invitations	những lời mời
invite	mời
involuntarily	một cách miễn cưỡng
involve	bao gồm
inward	vào bên trong
iron	ủi, sắt
irregular	không đều
irresistible	không thể cưỡng lại
irresolutely	nghi ngờ, phân vân
irritability	khó chịu
irritable	cáu kỉnh
irritate	kích thích
irritating	khó chịu
is	là
island	đảo
isolate	cách ly
issued	ban hành
it	nó
itch	ngứa
it'll	nó sẽ
its	của nó
it's	nó là
itself	chính nó
i've	Tôi đã
jaded	rủ rượi
jagged	có răng cưa
jail	tù
jam	mứt; chèn vào
jangling	đang réo inh ỏi
January	Tháng một
Japan	Nhật Bản
japanese	Nhật Bản
jar	lọ, bình, vại
jarring	nghịch tai
jaw	hàm
jaws	những cái hàm răng
jealous	ghen tuông
jealousy	ghen tuông
jerk	giật
jerked	đã giật
jerks	giật
jingling	đang leng keng
job	việc
jog	chạy bộ
join	tham gia
joined	đã tham gia
joint	chung
joke	trò đùa
jolted	rợn
journal	tạp chí
journey	hành trình
journeyers	những kẻ lang bạt
joy	niềm vui
joyful	hân hoan
joyfully	một cách hân hoan
jubilant	hân hoan
judge	thẩm phán
judges	phán xét
judgment	án
jugular	cuốn họng
juice	nước ép
juices	các nước trái cây
July	Tháng bảy
jump	nhảy
junction	mối nối
June	Tháng sáu
junior	trẻ
jury	bồi thẩm đoàn
just	chỉ, mới
justice	công lý, lẽ phải
jutted	thò
juvenile	vị thành niên
keel	sống thuyền
keen	quan tâm
keenest	sắc bén nhất
keenly	một cách cảnh giác
keep	giữ
keeping	đang giữ
kennel	chuồng
kennels	những cái chuồng
kept	đã giữ
kettle	bình đun nước
key	chìa khóa
keyed	dùng chìa khoá; thuộc trọng tâm
kick	đá
kid	đứa trẻ
kidnap	bắt cóc
kidnapped	đã (bị) bắt cóc
kidnapper	người bắt cóc
kidney	thận
kill	giết
killed	đã giết
killer	kẻ giết người
killing	giết chết
kin	thân nhân
kind	loại, hiền từ
kind-hearted	hảo tâm
kindliness	sự hiền từ
kindly	vui lòng, hiền từ
kindred	quan hệ thân tộc
kinds	các loại
king	vua
kingdom	vương quốc
kiss	hôn
kit	trang bị cần thiết cho một hoạt động, một công việc
kitchen	nhà bếp
kite	diều
kitten	mèo con
kittens	mèo con
klondike	làm lạnh đông cá
knee	đầu gối
kneel	quỳ gối
knees	các đầu gối
knelt	đã quỳ
knew	đã biết
knife	dao
knight	hiệp sĩ
knit	đan
knitted	dệt kim
knock	gõ
knocked	đã (bị) gõ
knocking	gõ
knot	nút thắt
knotting	thắt nút
knotty	như thắt chặt
know	biết
knowledge	kiến thức
known	đã (được) biết đến
knuckled	đốt ngón tay
knuckles	đốt ngón tay
Korea	Hàn Quốc
Korean	người Hàn Quốc
labor	lao động
laboratory	phòng thí nghiệm
lacerated	đã đau đớn
lack	thiếu
ladder	thang
lady	quý bà
laid	đã đặt
lake	ao hồ
lakes	những ao hồ
lamb	thịt cừu
lame	không thỏa đáng
land	đất
landed	đã hạ cánh
landing	đích
landlord	chủ nhà
landmark	mốc
landscape	cảnh quan
lane	làn đường
language	ngôn ngữ
lap	đùi
lapping	che qua, gấp qua
lapsed	đã trôi qua
large	to
largeness	sự rộng lớn
larger	lớn hơn
largest	lớn nhất
lash	dây da roi
lashing	đang roi vọt
lashings	những roi vọt
last	cuối cùng
late	khuya
late summer	Cuối mùa hè
latent	tiềm ẩn
later	sau
latest	mới nhất, trể nhất
latitude	vĩ độ
laugh	cười
laugh at	cười
laughed	đã cười
laughing	đang cười
launched	đã đưa ra
laundry	giặt ủi
law	pháp luật
lawgiver	nhà lập pháp
lawn	cỏ
lawns	những bãi cỏ
lawyer	luật sư
lay	đặt, nằm
lay off	đuổi việc
lay out	đặt ra
lays	đẻ; nằm
lazily	lười biếng
lazy	lười biếng
lead	dẫn đầu
lead-dog	chó dẫn đầu
leaden	như chì
leader	nhà lãnh đạo, thủ lĩnh
leaders	nhà lãnh đạo
leadership	sự lãnh đạo
leading	đang dẫn đầu
leaf	lá
leak	rò rỉ
lean	nạc, không dính mỡ
leap	nhảy qua
leaped	đã nhảy
leaping	đang nhảy qua
leapings	phóng
learn	học
learned	đã học
learning	đang học tập
lease	cho thuê
leash	dây buộc
leashed	đã buộc dây 
least	ít nhất
leather	da
leathery	giống như da
leave	để lại
leaves	lá
leaving	để lại, bỏ đi
lecture	bài giảng
led	đã dẫn
ledge	vành lồi ra
leech	con đỉa
leeward	dưới gió
left	đã rời bỏ, còn lại
leg	chân
legal	pháp lý
legend	huyền thoại
legion	nhiều, vô số, đoàn, lũ
legs	các chân
lend	cho vay
length	chiều dài
less	ít hơn
lessen	giảm bớt
lesser	thấp hơn
lesson	bài học
lessoned	bài học được 
let	hãy cho, để
lethal	gây chết người
letter	thư
letters	thư
letting	đang cho phép
lettuce	rau diếp
level	cấp
levels	mức độ
liability	trách nhiệm
liable	chịu trách nhiệm
liberal	tự do
liberty	tự do
library	thư viện
license	giấy phép
lick	liếm
licked	đã liếm
licking	đang liếm
lid	nắp
lie	nói dối
life	cuộc sống
life-and-death	cuộc sống và cái chết
lifeless	vô hồn
life's	của cuộc sống
lifetime	cả cuộc đời
lift	thang máy
lifted	đã (được) khiêng lên, dỡ bỏ
lifting	đang nâng
light	ánh sáng
light house	ngọn hải đăng
light refreshment	tĩnh dưỡng nhẹ nhàng
lightened	sáng sủa hơn, nhẹ hơn
lightening	làm sáng
lighter	nhẹ hơn
lighting	chiếu sáng, đèn
lightish-colored	màu sáng nhạt
lightly	một cách nhẹ nhảng
lightning-like	như chớp sét
lights	những đèn/ánh sáng
like	như, thích
likely	một cách có khả năng
likewise	cũng như vậy
lily	hoa loa kèn
limb	chân tay
limit	giới hạn
limitless	không giới hạn
limp	đi khập khiễng
limped	đã đi khập khiễng
limping	khập khểnh
limply	một cách yếu ớt, cà nhắc
line	dòng
linger	day dưa
lingered	nán lại
lingering	đang day dưa
lining	lót
link	liên kết
linked	liên kết, nối
lion	sư tử
lionlike	như sư tử
lip	môi
lips	những cái môi
liquid	lỏng
listen	nghe
listened	lắng nghe
listening	nghe
lit	thắp sáng
literally	một cách nghĩa đen
literature	văn học
little	ít
little finger	ngón tay út
live	sống
lived	đã sống
lively	sinh động
liver	gan
lives	(những) cuộc sống
living	đang sống
load	tải
loaded	đã nạp
loaf	sự đi chơi rong; sự lười nhác
loafing	đang lười nhác
loan	sự vay mượng
loath	ghét
loathsome	không ưa
lobby	vận động hành lang
local	địa phương
locate	xác định vị trí
lock	khóa
locomotive	di động
locomotives	đầu máy xe lửa
locust	châu chấu
lodge	nhà nghỉ
log	khúc gỗ mới đốn
logical	hợp lý
logs	những khúc gỗ mới đốn
lolling	đang thè lưỡi
lonely	một cách cô đơn
long	lâu/dài
long-barrelled	nòng dài 
long-desired	mong muốn lâu nay
long-drawn	kéo dài
longer	lâu/dài hơn
long-expected	mong đợi lâu nay
long-furred	phủ lông dài
look	xem
looked	đã nhìn
looking	đang thấy/nhìn
loom	bóng lờ mờ, hiện ra (với vẻ đe doạ)
loose	lỏng lẻo
loosed	lơi lỏng
loosely	một cách lỏng lẻo
loosen	lỏng ra
looted	bị cướp phá
lope	nhảy
loped	nhảy
lord	chủ
lose	thua
loser	kẻ bại, bên thua
loss	thiệt hại, mất mát
losses	thiệt hại, mất mát
lost	thua
lot	lô
lottery	xổ số
louder	to hơn
loudly	một cách to
love	yêu
loved	đã yêu
lovely	đáng yêu
lovingly	yêu thương, trìu mến
low	thấp
lower	giảm, thấp hơn
lowered	giảm
loyal	trung thành
luck	may mắn
luggage	hành lý
lugged	lôi theo
lugubriously	sầu thảm, bi thảm
lunch	bữa ăn trưa
lung	phổi
lunge	cú nhào tới
lurched	lảo đảo
lure	thu hút
lures	dụ, hút
luring	thu hút
luringly	thu hút
lurking	ẩn núp
lust	ham muốn
lusty	cường tráng, mạnh mẽ, đầy khí lực, đầy sức sống
luxurious	sang trọng
lying	nằm; nói láo
lyrics	Lời bài hát
machine	máy
machine-like	như máy
mackerel	cá thu
mad	điên
made	đã làm/thực hiện
madly	một cách điên cuồng
madness	sự điên rồ
magic	ảo thuật
magnet	nam châm
magnetic	từ trường, nam châm
magnetism	từ trường, nam châm
magnificent	lộng lẫy, tráng lệ
magnify	phóng to
magpie	chích chòe
maid	người giúp việc
mail	thư
mailbox	hộp thư
mailman	người đưa thư
mail-train	xe lữa đưa thư
main	chính
maintain	duy trì
maintaining	duy trì
major	chính
majority	đa số
majority rule	luật đa số
make	làm
makes	làm
makeup	trang điểm
making	đang làm
male	nam
malice	ác tâm
malicious	độc hại
malignant	ác tính
malinger	làm bộ đau
malingerer	người giả ốm để trốn việc
mall	trung tâm
mammal	động vật có vú
man	người đàn ông
man power	nhân công, nhân sự
manage	quản lý
managed	đã quản lý
manager	quản lý
mandate	nhiệm vụ
mane	lông gáy
maneuver	điều động
mangled	cắn xé
manhood	nhân cách
mania	chứng điên loạn
maniac	người điên
manifested	biểu hiện
manifestly	hiển nhiên
mankind	nhân loại
manner	phong cách
manoeuvre	thao diển, điều khiển
manoeuvred	đã thao diễn
manor	trang viên, nhà
manpower	nhân lực
man's	của con người
mansion	biệt thự
mantel	mặt lò sưởi
manual	bằng tay
manufacture	sản xuất
many	nhiều
many-noted	nhiều ghi nhận
map	bản đồ
marauders	những kẻ cướp
marble	đá cẩm thạch
March	Tháng ba
marched	đã diễn hành
marching	sự diển hành
margin	lợi nhuận, lãi suất
marine	biển
mark	tiêu chuẩn
marked	đã đánh dấu
market	thị trường
marks	(đánh) dấu
married couple	cặp vợ chồng kết hôn
marrow	tủy
marry	kết hôn
marsh	đầm lầy
marvellous	kỳ diệu
mash	đầm lầy
mass	khối lượng
massive	lớn
master	chủ
mastered	đã làm chủ
masterful	thích sai khiến, siêu việt
masters	chủ nhân; bậc thầy
master's	của chủ nhân; của bậc thầy
mastery	thống trị, bá chủ, sự tinh thông
match	làm cho phù hợp
matching	đang phù hợp
mate	bạn, bạn nghề
material	vật liệu
maternal	(thuộc) mẹ
maternity	thai sản
mates	những đồng bạn
mathematic	(thuộc) toán học
mathematics	toán học
matted	đã (được) bện
matter	vấn đề
matters	vấn đề
mature	trưởng thành
maximum	tối đa
may	có thể
mayor	thị trưởng
me	tôi
meadow	bải cỏ
meal	bữa ăn
meal-time	thời gian bữa ăn
mean	có nghĩa là
meaning	đang có nghĩa là
means	có nghĩa là
meant	có ý/nghĩa là
meantime	khi đó
measure	đo
measured	đo
meat	thịt
meatball	thịt viên
mechanical	(thuộc) về cơ khí
medal	huy chương
meddle	can thiệp
median	ở giữa
medic	lính cứu thương
medical	y tế, y học
medication	thuốc
medicine	y học
meditate	thiền
meditated	đã thiền định
medium	trung bình
meekly	ngoan ngoãn
meet	đáp ứng
meeting	đang họp, cuộc họp
melancholy	u sầu
mellow	êm dịu
melody	giai điệu
melt	tan chảy
member	thành viên
memorable	đáng nhớ
memories	những kỷ niệm
memorize	ghi nhớ
memory	trí nhớ
men	người đàn ông
menace	hăm dọa
menacing	đe dọa
menacingly	một cách đe dọa
mend	sửa sang
mending	sự sửa chửa
mental	tâm thần
mentally	một cách tinh thần
mention	đề cập đến
merchandise	hàng hóa
merciful	nhân từ
merciless	tàn nhẫn
mercilessly	một cách không thương tiếc
mercy	lòng thương xót
mere	chỉ
merely	chỉ
merge	hợp nhất
merit	công lao
mermaid	người cá
merrily	vui vẻ
mess	lộn xộn
message	tin nhắn
messenger	sứ giả, người đưa tin
messengers	sứ giả
met	đã gặp
metal	kim loại
metallic	kim loại
metamorphosed	biến chất
method	phương pháp
metropolis	đô thị
Mexican	thuôộc Mễ Tây Cơ
microscope	kính hiển vi
mid	giữa
midday	trưa
middle	ở giữa
middle age	tuổi trung niên
middle aged man	người đàn ông trung niên
middle aged woman	người phụ nữ trung niên
middle finger	ngón giữa
middle-aged	đứng tuổi
midmost	ở ngay chính giữa
midnight	nửa đêm
midnights	nửa đêm
midst	giữa
midway	giữa đường
might	có thể
mightily	một cách mạnh mẽ
mighty	hùng vĩ
migrating	di cư
mild	nhẹ
mild fever	sốt nhẹ
mile	dặm
miles	nhiều dặm
military	quân sự, quân đội
milk	sữa
mill	nhà máy
million	triệu
mill-race	cuộc đua nhà máy
mimic	bắt chước
mince	băm, thái
mind	(quan) tâm
mine	của tôi
miner	thợ mỏ
mineral	khoáng sản
miners	thợ mỏ
miners'	của thợ mỏ
mines	các mỏ
mineself	của tôi
mingle	lẫn vào
minimum	tối thiểu
mining	khai thác khoáng sản
ministrations	sự cứu giúp, sự giúp đỡ, sự chăm sóc
minor	nhỏ
minority	thiểu số
minute	phút
minutes	những phút
miracle	phép lạ
misbelieve	không tin
miscalculated	tính nhầm
mischief	mối nguy hại
misdeed	việc làm có hại
misdemeanors	những tội nhẹ
miserable	khổ sở
misery	đau khổ
misplace	đặt nhầm
miss	bỏ lỡ
missed	đã bỏ lỡ
missile	tên lửa
missing	đang mất tích
mission	nhiệm vụ
missionary	người truyền giáo
mist	sương mù
mistake	sai lầm
mistaken	nhầm lẫn
mistakes	những sai lầm
misunderstand	hiểu nhầm
misunderstandings	hiểu lầm
misunderstood	hiểu lầm
mite	vật nhỏ bé, một chút; con ve, con rệp
mitten	găng tay hở ngón
mittened	được mang găng tay
mittens	găng tay
mix	pha
moan	kêu van
moaned	đã than van, kêu van, rền rĩ
mobile	di động
moccasins	những giày da
mock	giả
mode	chế độ, mốt
moderate	vừa phải
modern	hiện đại
modernize	hiện đại hóa
modest	khiêm tốn
moist	ẩm
moisture	độ ẩm
mole	nốt ruồi
molest	sàm sỡ
mom	mẹ
moment	thời điểm
moments	khoảnh khắc
moment's	của thời điểm
momentum	đà
Monday	Thứ hai
money	tiền
mongrels	loài hỗn hợp
monkey	khỉ
monopoly	độc quyền
monosyllabic	đơn âm
monotonous	đều đều, đơn điệu, buồn tẻ
monster	quái vật
monthly	hàng tháng
months	tháng
monument	tượng đài
mood	tâm trạng
moods	những tâm trạng
moon	mặt trăng
moon-flooded	đã mặt trăng tràn ngập
moonlight	sáng trăng
moonshine	ánh trăng
moose	một loại nai lớn sừng tấm
moose-hide	da nai sừng tấm
mops	giẻ lau sàn
moral	đạo đức
more	hơn
moreover	hơn thế nữa
morning	buổi sáng
morning sickness	ốm nghén
morose	u buồn
mortal	chết, tử
mortgage	vay thế chấp
mosquito	muỗi
mosquitoes	muỗi
moss	rêu
most	nhất
moth	bướm đêm
mother	mẹ
mother in law	mẹ chồng (mẹ vợ)
mothers	các bà mẹ
mother's	của mẹ
motion	chuyển động
motionless	bất động
motive	động cơ
mould	khuôn
mount	trèo
mountain	núi
mountainous	miền núi
mountains	núi
mourn	thương tiếc
mournful	bi ai
mournfully	kêu thảm thiết
mourning	tang khóc, đang sầu bi ai mất
mouse	chuột
mouth	miệng
move	di chuyển
moved	đã chuyển dời
movement	phong trào
movements	chuyển động; phong trào
movie	phim
moving	di chuyển
much	nhiều
muck	đồ bẩn thỉu, rác rưởi; đồ ô uế
mud	bùn
muddy	bùn
mug	cốc
mule	con la
multiplied	nhân lên
multiply	nhân
multitudinous	đủ thứ
mumble	lẩm bẩm
mummy	Xác ướp
municipal	thành phố
murder	giết người
murmur	tiếng rì rầm
murmured	thì thầm
murmurs	thì thầm
muscle	cơ bắp
muscles	những cơ bắp
muse	trầm ngâm
muses	suy tư, ngẫm nghĩ
museum	bảo tàng
mush	lái xe chó
mushers	những kẻ lái xe chó
mushroom	nấm
mushy	xốp
music	âm nhạc
musical	âm nhạc
musician	nhạc sĩ
musing	suy tư, mơ màng
must	phải
mustache	ria
mustard	mù tạt
mustn't	không cần, phải không
mutation	đột biến
mute	thầm lặng
mutiny	nổi loạn
mutter	sự lẩm bẩm
muzzle	bịt
my	của tôi
myself	tự bản thân
mysterious	bí ẩn
mysteriously	bí ẩn
mystery	bí ẩn
myth	thần thoại
nag	ngựa con
nagging	đang hay cải nhau
nail	cái đinh
naked	đã trần truồng
name	tên
name card	thẻ tên
name plate	tấm biển tên
nameless	vô danh
names	tên
nap	ngủ trưa
nape	gáy
narcotic	ma tuý
narrate	kể lại
narrow	hẹp
narrow minded man	người đàn ông hẹp hòi
narwhal	độc giác ngư
nasal	mũi
nasty	khó chịu
natal	sinh đẻ
nation	quốc gia
nationality	quốc tịch
native	bản địa
natural	thiên nhiên
nature	thiên nhiên
navy	hải quân
near	gần
neared	đến gần
nearer	gần hơn
nearly	gần
nearsighted	cận thị
neat	gọn gàng
necessaries	những thứ cần thiết
necessarily	một cách nhất thiết phải
necessary	cần thiết
neck	cổ
neck-hair	cổ tóc
necklace	vòng cổ
need	đã cần
needed	cần thiết
needle	nhu cầu
needs	những nhu cầu
negate	phủ nhận
negative	tiêu cực
neglect	bỏ bê
negotiate	đàm phán
neighbor	hàng xóm
neighboring	láng giềng
neither	không
nephew	cháu trai
nerve	thần kinh
nervous	hồi hộp, thần kinh
nest	tổ
nests	những cái tổ
net	mạng lưới
neutral	trung lập
never	không bao giờ
nevertheless	dù sao đi nữa
new	mới
newborn	trẻ sơ sinh
newcomers	những người mới đến
new-fallen	mới vừa rớt xuống
news	tin tức
newspaper	tờ báo
newspapers	những tờ báo
next	tiếp theo
nice	đẹp
Nice to meet you	rất vui được gặp bạn
nickname	biệt danh
niece	cháu gái
niggerheads	người da đen mạnh mẽ
night	đêm
night time	ban đêm
nightmare	cơn ác mộng
nights	những đêm
nimble	khéo léo
nine	9
nineteen	mười chín
ninety	chín mươi
ninth	thứ chín
nip	cái cấu, cái véo, cái cắn
nipped	đã cắn, cấu, véo
nipple	núm vú
nitrogen	khí nitơ
no	không
no charge	miễn phí
noble	cao thượng
noblest	cao quý
nobody	không ai
nocturnal	về đêm
nod	gật đầu
nodded	đã gật đầu
nodding	gật đầu
noise	tiếng ồn
noiselessly	yên lặng
noises	những tiếng ồn
noisy	ồn ào
nominal	danh nghĩa
nominate	đề cử
none	không ai/cái nào
nonprofit organization	tổ chức phi lợi nhuận
nonsense	vô nghĩa
noodle	mì
noon	trưa
nor	cũng không
normal	bình thường
north	phía bắc
northland	xứ ở miền bắc
northwest	phía tây bắc
nose	mũi
noses	mũi
nosing	đang sục sạo
nostrils	những lỗ mũi
not	không
notches	mức, khứa hình V
note	ghi chú
notebook	máy tính xách tay
noted	lưu ý
nothing	không có gì
notice	thông báo
noticing	đang nhận thấy
notify	thông báo
notorious	khét tiếng
noun	danh từ
nourish	nuôi
novel	tiểu thuyết
November	Tháng mười một
now	bây giờ
nowadays	ngày nay
nowhere	không nơi nào, không ở đâu
nude	hình khỏa thân, người khỏa thân
nudge	thúc bằng khuỷu tay
nuggets	cốm, cục nhỏ
null	không
numb	tê
number	số
numerous	nhiều
nurse	y tá
nursed	chăm sóc
nursery	nhà trẻ, trường mẫu giáo
nursing	điều dưỡng
nut	hạt
nutriment	chất ăn bổ; chất dinh dưỡng
nutrition	dinh dưỡng
oar	mái chèo
oath	tuyên thệ
oaths	những tuyên thệ
obdurate	cứng rắn, sắt đá, không lay chuyển
obedience	sự vâng lời
obedient	biết vâng lời
obediently	ngoan ngoãn
obey	tuân theo
obeyed	đã tuân theo
object	đồ vật
objective	mục tiêu
obligation	nghĩa vụ
obliterated	xóa sạch
oblong	hình chữ nhật
obscure	che đậy
obscurely	một cách che khuất, mờ đi
obscureness	tối, tối tăm, mờ mịt
observe	tuân theo
observed	đã quan sát
obtain	đạt được
obtained	thu được
obtuse	hạn hẹp
obvious	rõ ràng
occasion	dịp
occasional	thỉnh thoảng
occasions	những dịp
occupants	người cư ngụ
occupation	nghề nghiệp
occupied	đã chiếm
occupy	chiếm
occur	xảy ra
ocean	đại dương
October	Tháng Mười
octopus	bạch tuộc
odd	lẻ
odds	những phần thắng thua
odor	mùi
of	của
of course	tất nhiên
off	off
offence	hành vi phạm tội
offending	đang vi phạm
offense	hành vi phạm tội
offensive	tấn công
offer	cung cấp
offered	cung cấp, mời
offering	cung cấp, mời
office	văn phòng
officer	viên chức
official	chính thức
official residence	dinh thự chính thức
offspring	con đẻ
off-spring	con cái
off-the-record	bí mật
often	thường
oftener	thường hơn
oh	ô!
oil	dầu
ointment	thuốc mỡ
old	xưa
old bachelor	người độc thân già
old maid	gái già
older	cũ hơn, già hơn
oldest	lâu đời, già, lớn tuổi - nhất
old-fashioned	lạc hậu
old-time	thời gian cũ
omnivore	động vật ăn tạp
on	trên
once	một lần
one	một
one-eyed	một mắt
ones	những người/món/vật
one's	của một người
onion	hành
onlookers	những người xem
onlooking	đang xem
only	chỉ, duy nhất
onset	từ bắt đầu
open	mở ra
opened	đã mở ra
opening	đang mở
openly	một cách công khai
open-minded	phóng khoáng
operate	vận hành
operating	đang hoạt động
operation	hoạt động
opinion	ý kiến
opinions	ý kiến
opportunity	cơ hội
oppose	phản đối
opposing	đang đối lập
opposite	đối diện
oppressed	bị áp bức
optic	quang
optimism	lạc quan
optimistic	lạc quan
option	tùy chọn
or	hoặc
oral	bằng miệng
