Term	Definition
wear	mặc
wearing	mặc
wearisome	chán ngắt
weary	mệt mỏi
wearying	mệt mỏi
weasel	con chồn
weather	thời tiết
weave	dệt
weazened	đã khô xác, nhăn nheo
web	mạng
webbed	đã màng
Weber	vê be
wed	cưới
wedge	mũi nhọn
wedges	nêm
Wednesday	Thứ Tư
weed	cỏ dại
weedy	um tùm cỏ dại
week	tuần
weekday	ngày trong tuần
weekend	cuối tuần
weeks	tuần
week's	của tuần
weeping	khóc vì tức
weigh	cân
weighed	đã cân nặng
weight	trọng lượng
weighty	quan trọng
weir	đập nước
weird	lạ
welcome	chào mừng
weld	mối hàn
welfare	phúc lợi
well	tốt; giếng nước
we'll	chúng tôi sẽ
went	đã đi
wept	đã khóc
were	đã là
west	hướng tây
westerly	hướng tây
western	phía tây
wet	đã ướt
we've	chúng tôi đã
whale	cá ông
whaling	đánh cá ông
wharf	cầu tàu
what	cái gì
whatever	bất cứ điều gì
what's	những gì
wheat	lúa mì
wheedlingly	một cách - vòi khéo, dỗ ngọt
wheel	bánh xe
wheelchair	xe lăn
wheel-dog	con chó gần bánh xe
wheeler	kẻ lái xe
when	khi
whenever	bất cứ khi nào
where	đâu
whereat	nơi
wherefore	tại sao
wherein	trong đó
whereupon	trên ấy
wherever	bất cứ nơi nào
whether	liệu, dù
which	mà, cái nào
whichever	tùy theo điều kiện nào
whiff	hơi rượu
while	trong khi
whim	không chừng
whimpered	đã rên rỉ
whimpering	rên rỉ
whine	than thở
whined	đã rên rỉ
whining	đang rên rỉ
whip	roi da
whipped	quất
whipping	đang quất roi
whips	roi
whipsawed	bị thất cơ lỡ vận
whirl	sự xoay lốc
whirled	đã xoay
whirlpool	xoáy nước
whirlwind	con trốt, cơn lốc
whisper	nói nhỏ
whispered	thì thầm
whistle	huýt sáo
whistling	huýt sáo
white	trắng
white-fanged	nanh trắng
white-hot	nóng trắng
whiteness	trắng hoàn toàn, (sự ngây thơ)
whittled	cắt xén
whittling	chuốt
who	ai
whoa	tiếng hô
whoever	bất cứ ai
whole	toàn bộ
wholesale	bán buôn
wholesome	lành mạnh
wholly	hoàn toàn
whom	ai
whoop	tiếng kêu
whore	con đĩ
whose	của ai
whoso	dầu là ai
why	tại sao
wick	bấc
wicket	cửa bán vé
wide	rộng
wide-eared	tai rộng
wide-eyed	mắt to
widespread	lan rộng
wide-spreading	rộng lây lan
widget	vật không tên
widow	góa phụ
width	chiều rộng
wielded	nắm giữ
wife	vợ
wig	tóc giả
wild	hoang dã, phóng đảng
wildcat	mèo hoang
wilder	hoang dã
wilderness	vùng hoang vu
wildfowl	gà rừng
wild-fowl	gà rừng
wildly	dại, hoang (ở) rừng; rối, lộn xộn, lung tung, điên cuồng, nhiệt liệt
wildness	sự hoang dã
wiliness	tính xão trá, tính quỷ quyệt
will	sẽ
willing	đang sẵn sàng
willow	cây liễu
willows	liễu
wily	xảo quyệt
win	giành chiến thắng
wince	nhăn mặt
wind	gió
wind instrument	nhạc khí hơi
winded	đã hết hơi
windfall	quả rụng
windmill	cối xay gió
window	cửa sổ
windows	những cửa sổ
winds	gió
windstorm	bão kèm theo gió
windup	lên dây
wine	rượu
winery	nhà máy sản xuất rượu
wing	cánh
winking	nháy mắt
winner's tip	tiền thưởng của người thắng cuộc
winter	mùa đông
winters	mùa đông
wintry	thuộc mùa đông
wipe	lau
wiped	bị xóa sổ
wiping	lau
wire	dây
wireless	không dây
wisdom	trí tuệ
wise	khôn ngoan
wish	chúc
wished	muốn
wistfully	tiếc nuối
witch	phù thủy
with	với
withdraw	thu hồi
withheld	khấu trừ, giữ lại
within	bên trong
without	ngoại trừ
withstanding	chịu được
witness	làm chứng
witnessed	chứng kiến
wives	vợ
woe	sự đau khổ
wolf	sói
wolf-cry	sói khóc
wolfish	như chó sói
wolflike	như chó sói
wolves	những con sói
woman	phụ nữ
womanhood	tính chất đàn bà, thời kỳ đã trưởng thành của người phụ nữ
womb	tử cung, lọt lòng
women	phụ nữ
won	đã thắng
wonder	phân vân
wondered	đã tự hỏi
wonderful	tuyệt vời
wont	thói quen
won't	sẽ không
wonted	là thói thường
wood	gổ
wooded	đã có nhiều cây cối
wooden	bằng gỗ
woodpeckers	chim gõ kiến
woods	những - miếng gổ, cái cây
woodwind	nhạc cụ hơi bằng gỗ
woody	thuộc về gô
wool	len
word	từ, chữ
words	từ
wore	mặc
work	làm việc
workbench	bàn thợ
workbook	sách hưỡng dẫn
worked	đã làm việc
worker	công nhân
working	làm việc
workload	khối lượng công việc
workman	người công nhân
workshop	hội thảo
workspace	nơi làm việc
world	thế giới
worm	sâu
wormed	chui vào, luồn vào
worn	mặc
worn-out	(mỏi) mòn
worried	lo lắng
worrisome	phiền phức
worry	lo lắng
worrying	đáng lo ngại
worse	tệ hơn
worship	tôn thờ
worshipful	đầy sự tôn kính
worst	tồi tệ nhất
worth	đáng giá trị
worthily	một cách xứng đáng
worthless	vô giá trị
worthy	xứng đáng
would	sẽ
wouldn't	sẽ không
wound	vết thương
wounded	đã bị thương
wounds	những vết thương
wound-stiffened	đã bị đầy thương tích
wow	ôi chao
wraith	sự hiện hình
wrangled	cãi nhau, cãi lộn; ẩu đả
wrap	bọc
wrapped	đã bọc
wrappings	những bao bì
wrath	cơn thịnh nộ
wreath	vòng hoa
wreck	xác tàu
wreckage	mảnh vụn
wrenched	giật
wrenching	đang vặn mạnh, xoắn; nỗi đau đớn khổ sở
wrest	cố giành lấy
wrestled	đã vật lộn
wrestling	đang vật lộn
wretched	không may
wriggle	vặn vẹo
wriggled	đã luồn lách
wrinkle	nếp nhăn
wrinkled	nhăn
wrist	cổ tay
wristband	miếng da bao cổ tay
wristwatch	đồng hồ đeo tay
writer	nhà văn
writhed	đã quằn quại
writhing	đang quằn quại
writing	viết
writing material	tài liệu viết
writing pad	sổ tay
written	viết
wrong	sai
wrote	đã viết
wrought	đã rèn (sắt); đã thuộc (da); đã bào kỹ (gỗ)
yacht	du thuyền
yam	khoai lang
yank	giật mạnh
yard	sân; một thước Anh
yards	những thước Anh
yarn	sợi
yawn	ngáp
yawned	đã ngáp
yawning	ngáp
yeah	vâng
year	năm
yearbook	niên giám
yearly	hàng năm
yearning	sự đau xót
yearnings	khao khát
years	những năm
yeast	men
yell	tiếng hét
yellow	màu vàng
yellowish	vàng nhạt
yelp	kêu ẳng ẳng
yelped	đã kêu ẳng ẳng
yelping	đang kêu ẳng ẳng
yelps	kêu ăng ẳng
Yen	yên
yep	vâng
yes	vâng
yesterday	hôm qua
yet	nhưng
yield	năng suất
yin	âm
yodel	đổi giọng trầm sang giọng kim
yoga	dô ga
yoke	kẹp
yokel	kẻ quê mùa
you	anh
you'd	(bạn) sẽ muốn
young	trẻ
younger	trẻ hơn
youngster	cầu thủ trẻ
your	của anh
you're	(bạn) đang
You're welcome	không có chi
yours	của bạn
youth	trẻ, thanh niên
you've	anh/bạn đã
zeal	nhiệt huyết
zebra	ngựa vằn
zenith	thiên đỉnh
zero	số không
zest	sự vui vẻ
zigzag	hình chữ chi
zinc	kẽm
zombie	thây ma sống lại
zone	khu vực
zoo	vườn thú
zoology	động vật học
zoom	phóng
zucchini	bí đao
	
50 dặm	fifty-mile
à	expression Oh!, by the way
ạ	polite expression to someone superior
à 	yes (expression)
á thần	demigod
ác	evil
ác 	evil
ác liệt	fierce
ác tâm	malice
ác tính	malignant
a-cri-lích	acrylic
ai	who, (unknown, uncertain)
ái	exclamation of pain or surprise
ai cũng có gia tộc	everyone has family
ai nấy 	everyone
ám	possess, darken
âm	yin, minus
ấm	warm
ầm	loud
ẩm	moist, humid
ám 	possess
ầm ầm	rumble
ấm áp	warm
ám chỉ	allude
ảm đạm	bleak, gloomy, dreary
âm điệu	tone, melody
ám muội	shady, dubious, underhand, sinister
âm mưu	conspire, plot, conspiracy
âm nhạc	music(al)
ám sát	assassinate
âm thanh	sound
âm u	dim
ẩm ướt	damp, humid
amip	amoeba
amoniac	ammonia
ampe	ampere
án	a (legal) sentence
ân	grace, favour
ăn	eat
ấn	publication, stamp
ẩn	hide
ấn 	to press; an official stamp
ăn cắp	steal
ăn chay	vegetarian
ăn cơm	dine; eat rice
ấn Độ	India
ăn được	edible
ăn kiêng	dietary, dietetic, dieting
ăn mày	beggar
ăn mòn	corrosion
ăn năn	repent, penance
ẩn náu	to hide
ăn ở	eat and live (at, with)
ăn quá nhiều	overeat, eat too much
an toàn	safe, secure
án tử hình	death penalty
ấn tượng	impression
an ủi	comfort, console
ăn vô độ	binge
áng nắng ban ngày	daylight
anh	elder brother/male, 1st 2nd person (reference to male > he)
ánh	light
ảnh 	photo, picture; he
anh (em) họ	cousin
anh ấy	he/him (older male level)
anh ấy 	he, him (older male level)
anh bạn	fellow
anh cúi 	you/he bend(s)  (older male level)
anh đã	you've  (older male level)
anh dâu	older brother in law (wife side)
anh em	brothers, elder brother of mine(younger level)
ánh hồng	afterglow
anh hùng	hero(ic)
ảnh hưởng	affect, influence
ảnh hưởng bởi	affected by
ảnh hưởng đến	affect
ánh mắt	glance, eye reflection
ánh nến	candlelight
anh nhìn 	he/you looks  (older male level)
anh rể	older brother in law (husband side)
ánh sáng	light
anh ta	him
ánh trăng	moonlight, moonshine
anh viết 	he/you write  (older male level)
ao	pond
áo	shirt
áo 	shirt, upper cloth wear
áo choàng	robe, cloak
ao hồ	lake
áo khoác	coat, vest
áo len	sweater
áo mưa	raincoat
ảo thuật	magic
ảo tưởng	delusion
ao ước	crave
áp	pressure
ấp	brood
áp bức 	oppress
áp dụng	apply
áp lực	pressure
áp suất không khí	air pressure
áp xe	abscess
át	to drown out (noise)
át lát	atlas
ấu	child, youth
ấu chấm câu	punctuation mark
a-xê-tát	acetate
a-xê-ti-len	acetylene
a-xê-tôn	acetone
axit	acid
ấy	that
ấy 	that
ba	three, father 
bà	grandmother, she, woman (pronoun 1st, 2nd singular)
bã	residue
bả	bane; she(older woman)
bá chủ	master of dominion
bà cố	great grandmother
bà già	old woman
ba lần	three times
ba lô đeo vai	backpack
ba mươi	thirty
bà ngoại	grandmother (mother'side)
bà nội	grandmother (father'side)
bá tước	earl
bác	uncle (father or mother's older brother/sister)
bấc	wick
bắc	north
bạc	silver
bậc	echelon
bác bỏ	demurrer
Bắc Cực	arctic
bác gái	aunt (older sister of father or mother)
bác sĩ	doctor, physician
bác sĩ chó 	dog-doctor
bác sĩ da liễu	dermatologist
bác sĩ nhi khoa	pediatrician
bác sĩ thú y	veterinarian
bách	100, all (indirect meaning)
bách khoa toàn thư	encyclopedia
bạch tuộc	octopus
bài	article, lesson, post
bãi	bank, expanse, ground, field
bại 	fail(ure)
bãi biển	beach
bãi bỏ	abolition
bãi chọi gà	cockpit
bãi cỏ	lawn
bải cỏ	meadow
bài giảng	lecture
bài hát	song
bài hát ca ngợi	anthem
bài hát mừng	carol
bài học	lesson
bài luận	essay
bài phát biểu	speech
bài tập về nhà	homework
bài thơ	poem
bài thuyết giáo	sermon
bài viết	article
bám	cling
băm	to chop, mince
bẩm	congenital; to refer (to higher level) before title: "dear" sir
bám chặt vào	attach firmly to
bẩm sinh	congenital
bán	sell
bàn	desk, table
bần	poverty
bắn	shoot
bản	a composition, copy (classifier)
bẩn	dirty
bạn	friend, you (friend level)
bận	busy, an instance, an incidence, one time 
ban 	department
bản án	verdict
bán buôn	wholesale
bán cầu	hemisphere
bàn chải đánh răng	tooth brush
bàn chân	foot
bản chất	essence
bạn chí thân	crony
ban cho	give to, grant
ban công	balcony
bán đảo	peninsula
ban đầu	initial
bán đấu giá	auction
ban đêm	night time
bản địa	native
bản đồ	map
ban giám đốc	directorate
bán hàng	sales
bạn học	classmate
bản kế hoạch	blueprint
bản khai	affidavit
băn khoăn	In a divided mind
băn khoăn 	anxious, divided mind
bán kính	radius
bán lẻ	retail
bản lề	hinge
bản năng	instinct
ban ngày	daytime
bạn nghề	mate
ban nhạc	band
ban phước	bless
bận rộn	busy
bản sao	copy
bản sao chép	copy
ban sơ	primitive
bàn tay	hand, palm
bản thân	self
bạn thân	buddy
bản thiết kế	blueprint
bàn thờ	altar
bàn thợ	workbench
bản trích yếu	compendium
bán vé	ticket sale
bản xứ	aboriginal
báng	butt of rifle/gun
băng	ice, bandage, tape
bằng	by, equal
bảng	board, table, list, roll
bằng 	by, equal
bảng 	board
bằng biểu đồ	diagrammatic
báng bố	desecrate
băng cát sét	cassette
bằng chứng	evidence, proof
băng đảng	gang
bằng đất	earthen
bảng đen	blackboard
băng giá	frost
bằng gỗ	wooden
bằng lời nói	verbal
bằng lòng	acquiesce
bằng miệng	oral
bằng nhau	equal
băng qua	crossing, pass
bằng tay	manual
bảng xếp hạng	billboard
banh	ball
bánh	cake; wheel
bánh 	cake, bakery
bánh bao	white bun cake
bánh mì	bread
bánh ngọt	pastry
bánh quy	cookie
bánh răng	gear
bánh xe	wheel
bao	sack, bag
báo	report, newspaper
bào	of cell; to shave
bão	storm
bảo	tell, order
bạo	violent, bold
bạo 	violence, bold
bao bì	wrapping
báo cáo	report
báo chí	press
báo cho biết	apprise
bào chữa	plead
bảo đảm	warrant
báo động	alarm, alert
bao giờ	ever
bao gồm	involve
bảo hành	warranty
bảo hiểm	insurance
bão hòa	saturate
bão kèm theo gió	windstorm
bao la	vast
bảo lãnh	guarantee
bào mòn	abrasive
báo mộng	reported in dream
bào ngư	abalone
bảo quản	preserve
bảo tàng	protective treasure, museum
bảo tồn	conserve
báo tranh chuyện vui	comic
bão tuyết	blizzard
bao vây	surround
bảo vệ	guard, protect
bắp	corn; muscle
bắp cải	cabbage
ba-ri	barium
bát	bowl
bất	any
bắt	apprehend, catch
bật	to pluck, recoil, rebound
bật 	(to)turn on, switch
bắt buộc	compel, compulsive
bất cẩn	careless
bất chấp	defy
bất chợt	casual
bắt chước	imitate, mimic
bắt cóc	abduct, kidnap
bất công	unfair
bất cứ ai	whoever, anybody, anyone
bất cứ cách nào	anyway, whichever way
bất cứ cái gì	anything
bất cứ điều gì	whatever, anything
bất cứ khi nào	whenever
bất cứ lúc nào	whenever
bất cứ nơi đâu	anyplace
bất cứ nơi nào	wherever
bất đắc dĩ	Unavoidable, reluctant, grudging
bắt đầu	start, begin, beginning
bật dậy 	turn up
bất động	motionless
bất động sản	real estate
bắt giữ	arrest, capture
bất hợp pháp	illegal
bất khả chiến bại	invincible
bất kỳ	any
bật lại	rebound
bất lợi	adverse
bất lực	incompetent, helpless, powerless
bắt nạt	bully
bất ngờ	surprise
bắt tay	handshake
bất thường	extraordinary, abnormal, unusual
bất tỉnh	unconscious
bất tử	deathless, immortal
bầu	to vote; a gourd; ovary
bầu cử	election
bầu không khí	atmosphere
bầu trời	sky
bay	fly
bày	presented
bây	now
bấy	then; crush pulpy
bầy	herd
bẫy	trap
bảy	seven
bẩy	seven
bậy	rubbish, wrong
bầy đàn	flock
bây giờ	now
bay hơi	evaporate
bảy mươi	seventy
bé	little, child
bè	friends, a raft
bế	carry (infant) in both arms
bề	surface, side
bẻ	break
bể	water tank; to break
bệ	platform
bê 	baby cow, to carry
bề 	surface, side
bể cá	aquarium
bề mặt	surface
bề ngoài	appearance
bén	sharp
bèn	so then
bên	side
bến	terminals, landing stage
bền	durable
bện	braid
bến 	terminals, port
bến cảng	harbor
bên cạnh	beside
bên dưới	beneath
bên kháng cáo	appellant
bẽn lẽn	bashful
bén lửa	glazed, catch fire
bên ngoài	external, outside
bên phải	right side
bên sườn	flank
bến tàu	pier, port
bên thua	losing side
bên trên	above
bên trong	within, inside
bênh	defend
bềnh	floating
bệnh	ill
bệnh lỵ	dysentery
bệnh nhân	patient
bệnh suyễn	asthma
bệnh tiểu đường	diabetes
bệnh tự kỷ	autism
bệnh viêm ruột thừa	appendicitis
bệnh viện	hospital
beo	leopard
béo	blubber, fat, obese
bếp	kitchen
bếp 	kitchen
bét	last in standing
bết	to smear; stick to, bad, inferior
bi	bi
bì	Packaging
bỉ	persistence
bị	is (affected) by
bi ai	mournful
bí ẩn	mystery
bị ăn cắp	(to be) stolen
bị ảnh hưởng	(to be) affected
bị áp bức	(to be) oppressed
bị bắn	(to be) shot
bị bắn phá	(to be) bombarded
bị bão	(to be) stormed
bị bao bọc	(to be) enveloped
bị bao gồm	(to be) included
bị bao quanh	(to be) surrounded
bị bắt	(to be) caught
bị bắt buộc	(to be) compelled
bị bắt cóc	(to be) kidnapped
bị bắt giữ	(to be) captive
bị bất ngờ	(to be) unexpected
bị bắt vít	(to be) bolted
bị bệnh khờ	(to be) retarded
bị biến mất	(to be) disappeared
bị bỏ rơi	(to be) left behind
bị bọc	(to be) wrapped
bị bối rối	(to be) puzzled
bị bùng phát	(to be) boomed
bị buộc	(to be) forced
bị buộc dây 	(to be) leashed
bị cai trị	(to be) ruled
bị cảm thấy	(to be) felt
bị cầm tù	(to be) imprisoned
bị cắn	(to be) bit (bite)
bị cắn nhẹ	(to be) nipped
bị can thiệp	(to be) interfered
bị căng thẳng	(to be) strained
bị cắt giảm	(to be) slashed, cut, reduce
bị càu nhàu	(to be) grumbled, complained
bị chai	(to be) hardened, callous
bị chậm phát triển	(to be) retarded
bị chán	(to be) bored
bị cháy sém	(to be) fire-scorched
bị chế giễu	(to be) taunted
bị chết	(to be) dead
bị chết đói	(to be) famished, starved
bị chết đuối	(to be) drowned
bị chiếm	(to be) occupied
bị chìm	(to be) sunken
bị chở bằng xe tải	(to be) transported by truck
bị chờ đợi	(to be) waited
bị choáng váng	(to be) dazed
bị chọc	(to be) poked
bị chơi	(to be) played
bị chôn	(to be) buried
bị chọn	(to be) selected
bị chôn vùi	(to be) buried
bị chuyển	(to be) shifted
bị chuyên chở	(to be) freighted
bị chuyển dời	(to be) moved
bị chuyển đối	(to be) transformed, changed
bị cọ xát	(to be) rubbed
bị cong	(to be) bent
bị cười	(to be) laughed
bị cuộn	(to be) rolled
bị cuốn lên	(to be) reeled, curled
bị cướp	(to be) robbed
bị đá ra	(to be) bucked, kicked out
bị đâm sầm	(to be) crashed
bị dẫn	(to be) led
bị đánh	(to be) beaten, struck
bị đánh dấu	(to be) marked
bị đánh giá thấp	(to be) undervalued
bị đánh sáp	(to be) waxed
bị đánh thức	(to be) roused
bí đao	(to be) zucchini
bị đập	(to be) pounded, clubbed
bị đập nát	(to be) smashed
bị đặt	(to be) placed
bị đau đớn	(to be) lacerated, in pain
bị đau khố	(to be) suffered
bị đẩy	(to be) propelled, pushed
bị đầy chiến sẹo	(to be) battle-scarred
bị đầy thương tích	(to be) wound-stiffened
bị đe dọa	(to be) threatened
bị di dời	(to be) displaced
bị đi khập khiễng	(to be) limped
bị đi theo	(to be) followed
bị điên rồ	(to be) crazed
bí đỏ	(to be) pumpkin
bị đố	(to be) shed, pour
bị đối mặt	(to be) faced
bị đối xử	(to be) treated
bị đốm	(to be) flecked
bị đóng	(to be) closed, shut
bị động	passive
bị đóng dấu	(to be) stamped
bị đóng gói	(to be) packed
bị đông lạnh	(to be) frozen
bị đóng yên	(to be) harnessed
bị đớp	(to be) snapped, bitten
bị đua	(to be) raced
bị đưa ra	(to be) launched
bị đụng	(to be) crashed
bị ép	(to be) pressed, pressure to
bị gắn chặt	(to be) fastened
bị gặp phải	(to be) encountered
bị gấp rút	(to be) hurried
bị gây ra	(to be) caused
bị gãy răng rắc	(to be) snapped
bị ghét	(to be) hated
bị ghi điểm số	(to be) scored
bị giậm chân	(to be) stamped
bị giẫm xéo	(to be) trampled
bị giảm xuống	(to be) plunged
bị gián đoạn	(to be) disrupted
bị giật	(to be) jerked
bị giấu	(to be) hid
bị giết	(to be) killed
bị giới hạn	(to be) confined
bị giữ	(to be) held, kept
bị gõ	(to be) knocked
bị gọi	(to be) called
bị gọi là	(to be) called
bị gửi	(to be) sent
bị hạ xuống	(to be) lowered
bị hết hơi	(to be) winded
bị hỏi	(to be) asked
bị hỏng	(to be) broken, not working
bị hy sinh	(to be) sacrificed
bị kéo	(to be) dragged, pulled, towed
bị kéo dài	(to be) stretched
bị kéo lên	(to be) hoisted
bị kéo lết phết	(to be) draggled
bị kết thúc	(to be) finished
bị khảo sát	(to be) surveyed
bị khó chịu	(to be) annoyed
bị không ai để ý đến	(to be) unheeded
bị khuấy	(to be) stirred
bi kịch 	(to be) tragedy, sad drama
bi kịch lịch sử	(to be) historic drama
bị kích thích	(to be) aroused
bị kiểm tra	(to be) checked, examined
bị kiệt sức	(to be) exhausted
bị lắc	(to be) shaken
bị làm nát	(to be) crunched
bị làm ngạt thở	(to be) smothered
bị làm tê liệt	(to be) crippled
bị làm việc	(to be) worked
bị làm việc vất vả	(to be) toiled
bị lao vào	(to be) rushed in
bị lao xuống	(to be) plunged
bị lặp đi lặp lại	(to be) repeated
bị lật đố	(to be) overthrown
bị lật úp	(to be) capsized
bị lấy	(to be) taken
bị lấy lại	(to be) regained
bị leo lên	(to be) climbed
bị lo lắng	(to be) rattled
bị loại bỏ	(to be) discarded
bị loạng choạng	(to be) staggered
bị lôi	(to be) hauled
bị lừa	(to be) fooled
bị ma ám	(to be) possessed
bí mật	(to be) secret, confidential
bị mở ra	(to be) opened
bị mô tả	(to be) described
bị nài xin	(to be) pleaded
bị nắm chặt	(to be) gripped
bị nản lòng	(to be) daunted
bị nâng lên	(to be) raised
bị ném	(to be) hurled, thrown
bị nện	(to be) pounded
bị ngạc nhiên	(to be) surprised
bị ngập lụt	(to be) deluged
bị nghẹn thở	(to be) choked
bị nghiêng	(to be) slanted, inclined
bị ngừng	(to be) ceased
bị nguyền rủa	(to be) cursed
bị nhận ra	(to be) realized, identified
bị nhìn	(to be) looked
bị nửa choáng váng	(to be) half-stunned
bị nuốt chửng	(to be) devoured
bị nuốt ực	(to be) gulped
bị nứt	(to be) cracked
bị ở tình trạng	(to be) fared
bị oằn	(to be) buckled
bị oằn xuống	(to be) sagged
bị ốm	(to be) ill
bị phá hủy	(to be) destroyed
bị phá vỡ	(to be) broken
bị phản bội	(to be) betrayed
bị phản đối	(to be) countered
bị phân phối	(to be) distributed
bị phát hiện	(to be) discovered
bị phớt lờ	(to be) ignored
bị phủ	(to be) covered
bị phủ lên	(to be) draped
bị phủ tráng	(to be) coated
bị phun	(to be) sprayed
bi quan	pessimistic
bị quản lý	(to be) managed
bị quằn quại	(to be) squirmed
bị quan sát	(to be) observed
bị quan tâm	(to be) cared, concerned
bị quạt	(to be) fanned
bị quay	(to be) turned
bị quay lên	(to be) reeled
bị quên	(to be) forgotten
bị quét	(to be) swept
bị quì	(to be) squatted
bị ra dấu hiệu	(to be) signaled
bị ra lệnh	(to be) commanded, ordered
bị rạch	(to be) slashed
bị rối	(to be) tangled
bị rơi	(to be) crashed, fallen
bị run lên	(to be) quivered
bị run rẩy	(to be) trembled
bị rùng mình	(to be) shivered
bị rút ra	(to be) pulled out
bị sai lầm	(to be) blundered
bị siết chặt	(to be) clasped
bị sợ	(to be) feared
bị sợ hãi	(to be) terrified
bị so sánh	(to be) compared
bị sủa	(to be) barked
bị sưng lên	(to be) swollen
bị tả tơi	(to be) ragged
bị tách rời	(to be) seperated
bị tan băng	(to be) thawed
bị tấn công	(to be) charged, attacked
bị tăng	(to be) increased
bị tăng gấp đôi	(to be) doubled
bị táp	(to be) snapped
bị té	(to be) fell
bị té nhào	(to be) tumbled
bị thách thức	(to be) defied
bị tháo ra	(to be) unfastened
bị thất bại	(to be) failed
bị thắt chặt	(to be) tightened
bị thấy	(to be) seen
bị thay đối	(to be) changed
bị thay thế	(to be) replaced
bị thêm	(to be) added
bị theo dõi	(to be) stalked
bị thối	(to be) blown
bị thông qua	(to be) passed
bị thu	(to be) collected
bị thu hút	(to be) attracted
bị thúc đẩy	(to be) spurred, pushed
bị thương	(to be) injured
bị tìm thấy	(to be) found
bị tính phí	(to be) charged
bị tốn thất	(to be) suffered
bị trả đũa	(to be) retaliated
bị trần truồng	(to be) naked
bị tránh	(to be) avoided
bị tránh xa	(to be) shunned
bị trao đối	(to be) exchanged
bị treo	(to be) hung
bị trì hoãn	(to be) delayed
bị trở thành	(to be) became
bị trở thành mềm	(to be) softened
bị trôi qua	(to be) lapsed
bị trốn	(to be) escaped
bị trốn việc	(to be) shirked
bị trong tình trạng âm ỉ	(to be) smothered
bị tru	(to be) howled
bị trữ	(to be) reserved
bị trừng phạt	(to be) punished
bị từ chối	(to be) refused
bị ướt	(to be) wet
bị vật lộn	(to be) wrestled
bị vò nát	(to be) crumpled
bị vượt qua	(to be) crossed, passed
bị xâm nhập	(to be) pervaded
bị xấu hố	(to be) ashamed
bị xảy ra	(to be) happened
bị xé	(to be) ripped
bị xé rách	(to be) torn
bị xem	(to be) watched
bị xén	(to be) clipped
bị xoắn	(to be) twisted
bị xoay	(to be) whirled
bị xông vô	(to be) stormed in
bị xử lý	(to be) dealt
bị xung đột	(to be) clashed
bị yêu cầu	(to be) demanded, required
bia	beer
bi-a	billiard
bìa	cover
bịa	fabricated
bia đen	porter
biếc	bluish green
biên	edge, to write
biến	change, transform
biển	marine, sea
biến chất 	transform, metamorphic
biên dịch viên	translator
biên độ	amplitude
biến đối	convert
biên giới	boundary, border
biến hình	transform
biên lai	receipt
biến mất	vanish
biện pháp	remedy, solution
biên soạn	compile
biển tên	name plate
biếng	lazy
biếng 	lazy
biết	know(ing), aware
biệt	special, unique; disappear
biệt danh	nickname
biệt thự	mansion
biết vâng lời	dutiful, obedient
biếu	to gift
biểu	expression
biểu 	tell (order)
biểu đồ	chart
biểu hiện	express, display signs/symtoms
biểu thị	denote
biểu tình	protest, strike
bỉm	diaper
binh	soldiers
bình	canister, pitcher, vase
bịnh	sick
binh chủng thiết giáp	armor
bình đẳng	equal
bình đun nước	kettle
bình luận	comment
bình minh	dawn, daybreak
bình thường	ordinary, normal
bình tĩnh	calm, composed
bịt	muzzle
bịt kín	fully cover
bịt mắt	blindfold
bó	bunch, bundle
bò	cow
bố	father
bồ	romantic friend, lover
bỏ	to quit leave, drop off
bơ	butter
bọ	bug
bờ	shore, bank
bộ	by foot, appearance
bố 	father, dad
bờ 	shore
bợ 	to lowly kiss up
bỏ bê	neglect
bờ biển	coast, shore
bò cái	cow
bọ cánh cứng	beetle
bố chồng	father in law
bồ công anh	dandelion
bộ da	skin
bỏ đạo	apostate
bỏ đi	abandon
bộ đồ ăn	dinnerware
bộ đồ ngủ	pajamas
bò đực	bull
bó hoa	bouquet
bộ khuếch đại	amplifier
bộ lạc	tribe
bỏ lỡ	miss
bộ lọc	filter
bỏ mạng	perish
bố ngữ	adjunct
bố nhiệm	designate, appoint
bộ phận	part
bỏ phiếu	vote
bỏ phiếu trắng	abstention
bỏ qua	forego, skip
bò rừng	bison
bơ sữa	dairy
bố sung	complement
bờ vai	shoulder
bố vợ	father in law
bờ vực	brink
bộ xương	skeleton
bộ yên cương	harness
bóc	peeled
bốc	to pick up in one's hands; prepare medicine compound 
bọc	wrap
bộc	reveal
bốc lên	exhale, fume
bói	fortune telling
bôi	smear
bồi	waiter; to strenthen
bơi	swim
bới	dig by raking
bời	by the ravages of
bội	multifold, greater
bởi	by, because
bối cảnh	background
bối rối	confused
bồi thẩm đoàn	jury
bồi thường	compensate
bởi vì	because
bom	bomb
bợm	punk, jerk
bờm 	mane
bơm phồng	inflate
bón	fertilize; constipation
bốn	four
bồn	tub
bọn	gang, band, group
bộn	crowded with, encumbered with; quite in number
bọn 	bunch, gang
bốn mươi	forty
bồn rửa	sink
bồn tắm	tub
bóng	shadows, reflection, impression , shade
bông	flower, flake
bống	goby fish
bồng	carry in one's arms
bỗng	suddenly
bỏng	burns
bong 	peel off
bóng bay	balloon
bong bóng	bubble, balloon
bồng bột	vulnerable
bóng chày	baseball, cricket
bóng chuyền	volleyball
bóng đá	football
bọng đái	bladder
bóng đèn	bulb
bóng gió	allusive
bóng rố	basketball
bông tai	earring
bóng tối	shadow, darkness
boong	deck
bóp	squeeze
