above    以上、上面、上述
abreast	并肩、时髦的、及时了解
living	活,在世
load	加载,负荷
loaded	加载,装入
loaf	面包,一块面
loafing	蛇王,偷懒
loath	厌恶,不愿意的
loathsome	作呕
locate	定位,摆放
locomotive	机车,火车头
locomotives	机车,火车头
lodge	小屋,寄宿
log	登录,航海日志
logs	日志,原木
lolling	懒洋洋地
lonely	寂寞,孤独
long	长,渴望
long-barrelled	长管,长筒
long-desired	长期渴望
long-drawn	旷日持久,漫长的
longer	不再,更长
long-expected	期待已久的
long-furred	长毛皮
longings	渴望
look	看,注视
looked	看着,望着
looking	寻找,廋疏
loom	织机,嶢
loose	松,放荡,放纵
loosed	松动,疏松
loosely	松弛地
loosen	松开,松土
looted	洗劫一空,劫掠
lope	诺普,大步慢跑
loped	大步,抬
lord	主,贵族
loser	失败者,输家
loss	损失,折耗
losses	损失,亏损
lost	丢失,迷
lot	很多,抽签
lottery	抽奖,彩票
louder	响亮,大声
loudly	高声
love	爱,恋爱
loved	亲人,被爱
lovingly	含情脉脉,亲切地
low	低,低落
lower	降低,放低
lowered	降低,调低
luck	运气,幸运
lugged	吃力地,凸耳
lugubriously	转向月亮，忧伤地吠着
lunge	弓步,冲刺
lurched	蹒跚,东倒西歪
lures	诱惑,引诱
luring	引诱
luringly	luringly
lurking	隐,潜藏
lust	欲望,情欲
lusty	好色,妖媚
lying	躺在,谲
machine-like	像机器的
mad	疯狂,癫狂
made	做,取得
madly	发狂地,疯狂
madness	疯狂
magnetic	磁
magnetism	磁
magnificent	华丽的,堂皇
mail	邮件,寄
mail-train	邮政列车
main	主,优势
maintaining	维护,保持
majority	多数,成年
make	使,制造
makes	使,让
making	制造,塑造
malicious	恶毒,凶狠
malignant	恶性,坏心肠的
malinger	诈病,装病
malingerer	装病,诈病者
man	男人,曼
manage	管理,处置
managed	管理,托管
mandate	要求,委任统治
mane	鬃毛,髦
mangled	错位,出错
manhood	男子气概,成年
manifested	表现,体现
manifestly	显然,明白地
mankind	人类,男性
manner	方式,气派
manoeuvre	演习,调动
manoeuvred	操纵,机动
man's	男人的
many	许多,诸
many-noted	许多瞩目的
marauders	乱兵,掠夺者
march	行军,开赴
marched	游行,行进
marching	行军,游行
marked	标,醒目的
marks	商标,标记
marvellous	奇妙,不简单
mass	块,弥撒,群众的
massive	大规模,魁伟的
master	主,精通
mastered	掌握,精通
masterful	高超,熟练的
masters	主人,高手
master's	硕士
mastership	精巧,主人身份
mastery	征服,发迹
mastodon	乳齿象
match	匹配,相配
matching	匹配,配套
mates	队友,伴侣
matted	乱蓬蓬,纠缠的
matter	问题,碍事
matters	事项,事宜
may	可能,堪
mayo	梅奥,梅欧
me	我,余
meal	餐,进餐
meal-time	吃饭的时候，
meaning	意思,意义深长的
means	手段,繇
meant	意思,旨在
meantime	与此同时,其间
measured	测量,合标准的
meat	肉,食物
mebbe	mebbe
meditated	沉思,打坐
meekly	谦和,忠厚地
meet	满足,会晤
meeting	会议,召集
mek	人民圣战者组织
melancholy	愁绪,悲哀
member	成员,构件
memorable	难忘
memories	回忆
memory	记忆
men	男人
menace	威胁,威胁者
menacing	来势汹汹,险恶
menacingly	来势汹汹,恶狠狠
mend	修补,修补处
mending	修补,修布
mentally	精神上,心理上
merciless	无情,残忍
mercilessly	无情地,狠狠地
mercy	怜悯,慈悲
mere	只,泽
merely	仅仅,只顾
merrily	欢快
mess	胡来,弄糟
message	信息,带信息
messengers	使者,信使
met	会见,满足
metal	金属, 金属制的, 以金属覆盖
metallic	金属的,含金属的
metamorphosed	变质,幻化
method	方法,条理
mewed	mewed
mexican	墨西哥的
mid	中,在 ... 之中,中央的
middle	中间,腰
middle-aged	中年
midmost	在中间
midnight	午夜,夜半
midnights	午夜,深夜
midst	中间,当中
midway	中途,半路
might	威力,强权
mightily	强烈地
mighty	威武,极
migrating	迁移,移转
mile	英里
miles	英里
mill-race	磨比赛
mind	介意,在意
mine	矿,开采,我的
miners	矿工
miners'	矿工的
mines	矿山
mineself	这么想
mining	采矿,敷设地雷
ministrations	服侍,侍奉
minor	未成年人,辅修,副修科目
minutes	分钟
miracle	奇迹,神迹
miscalculated	失算,错估
misdeed	劣迹,坏事
misdemeanors	轻罪,劣行
miserable	惨,忧伤
misery	苦难,悲楚
missed	错过,无缘
missing	失去,不见的
mistake	错误,弄错
mistaken	错,谬
misunderstandings	误解
misunderstood	误解
mite	螨
mittened	掩着
mittens	连指手套
moaned	呻吟
moccasins	硬底软面拖鞋
moch	MOCH
mode	模式,状态
moisture	湿气,澍
moment	时刻,契机
moments	时刻
moment's	片刻的
momentum	势头,冲力
money	钱,款
mongrels	杂种,唐狗
monosyllabic	单音
monotonous	单调,平板
months	个月
mood	心情,气氛
moods	情绪
moon	月亮,蟾蜍
moon-flooded	月亮充斥
moonlight	月光
moose	驼鹿,麋鹿
moose-hide	驼鹿皮
mops	拖把,股东专栏
moral	道德,合乎道德的
more	更多,弥
morning	上午,初期
morose	忧郁
mortal	凡人,会死
mosquitoes	蚊子
moss	苔,泥沼
most	最
mother	母亲,收养
mothers	母亲
mother's	母亲的
motion	运动,提案
motionless	不动,侐
mould	模,铸造
mountain	山,岳
mountainous	多山,嶡
mountains	山
mournful	悲切, 酸溜溜
mournfully	凄然 ,悲哀
mourning	丧 ,服丧
mouth	口 ,高声地说话
move	移动 ,运动
moved	移动, 搬到
movement	运动 ,机心
movements	运动 ,动作
moving	移动 ,动态
much	多, 诸
muck	粪肥 ,施肥
mud	泥 ,秽土
muddy	浑 ,泥泞的
mug	杯 ,扮鬼脸
multiplied	乘以 ,成倍
multitudinous	众多 ,洋
murmur	潺潺 ,私语
murmured	喃喃地
murmurs	杂音 ,低语
muscle	肌肉 ,筋
muscles	肌肉
muses	缪斯 ,沉吟道
mush	浓粥 ,感伤的话
mushers	mushers
mushy	糊状的 ,感伤的
music	音乐 ,籁
musing	沉思 ,冥想
must	必须 ,应当
mustache	胡子 ,髭
mustn't	不得 ,不许
mutiny	兵变 ,暴乱
muzzle	枪口 ,上口罩
my	我的
mysterious	神秘 ,莫名其妙
mysteriously	神不知鬼不觉 ,鬼使神差
mystery	神秘 ,玄虚
nagging	唠叨 ,挑剔的
naked	裸 ,明白的
name	名称 ,指名
nameless	无名 ,匿名的
names	名
narrow	窄 ,缩小
native	本地人 ,迹先
nature	性质 ,脾性
near	贴心, 薄, 近
neared	接近
nearer	接近
nearly	将近
necessaries	必需品
necessarily	一定 ,必
necessary	必要 ,日用品
neck	颈部 ,拥吻
neck-hair	颈毛
need	需要 ,要有
needed	需要
needle	针 ,猛推
needs	需求
neighboring	邻近 ,附近
neither	也不 ,二者都不
nerve	神经 ,鼓起勇气
nervous	紧张 ,忧愁
nest	巢 ,筑巢
nests	巢 ,燕窝
nevaire	nevaire
never	从来没有 ,决不
nevertheless	虽然 ,顶
new	新 ,新奇
newborn	新生 ,乳
newcomers	新人
new-fallen	新堕落
newfoundland	纽芬兰
news	新闻 ,音信
newspapers	报纸 ,报刊
next	下 ,然后 ,比邻
nice	好看 ,过份挑剔的
niggerheads	niggerheads
night	夜, 夜晚的
nightmare	梦魇 ,寎
nights	夜
night's	晚上的
nine	九
nineteen	十九
nip	扼杀 ,讽刺
nipped	消灭 ,冻坏
no	没有 ,拒绝
noblest	最高贵的
nobody	没有人
nocturnal	夜 ,夜鸟
nodded	点了点头
nodding	点头
noise	噪音 ,吵
noiselessly	无声
noises	噪音
nomadic	游牧
none	没有
nor	也不 ,也没有
north	北
northland	北国
northwest	西北 ,向西北
nose	鼻子 ,侦察出
noses	鼻子
nosing	收口
nostrils	鼻孔 ,扑鼻而来
not	不 ,无
notches	缺口 ,槽口
note	注意 ,笔记
noted	注意 ,著名的
nothing	无 ,琐事
notice	注意 ,觉察
noticing	注意到
now	现在 ,此刻 ,既然
nowhere	无处 ,无价值的东西
nudge	轻移
nuggets	掘金
numb	麻木 ,使 ... 昏迷
numerous	众多 ,成千上万
nursed	调养 ,护理
nursing	护理 ,养育的
nutriment	养料
oath	誓言 ,起誓
oaths	宣誓
obdurate	顽固 ,执拗
obedience	服从 ,百依百顺
obediently	乖乖
obey	服从 ,遵
obeyed	服从 ,顺服
obliterated	抹杀 ,冲掉
obscurely	隐晦 ,模糊
obscureness	obscureness
observed	观察到 ,遵守
obtained	获得 ,取得
occasion	场合 ,致使
occasional	偶然 ,临时的
occasions	场合
occupants	住户 ,乘员
occupied	占领 ,有事
odd	奇 ,莫名其妙
odds	可能性 ,优越性
of	的 ,于
off	离 ,隔断,右
offence	犯罪 ,过错
offending	得罪 ,违法
offensive	进攻 ,有攻击性
offer	提供 ,议案
offered	提供
offering	提供 ,奉现
office	办公室 ,机关
official	官方 ,官
often	常,频繁
oftener	更经常
oh	哦
old	老 ,往昔
older	旧
oldest	最老 ,大
old-time	过时的 ,古来的
on	上 ,在 ... 之上
once	一次 ,一旦
one	一 ,壹
one-eyed	独眼的 ,瞎
ones	的
one's	一个人的
onlookers	围观 ,旁观者
onlooking	旁观
only	只 ,只不过
onset	发病 ,猛攻
open	打开 ,开阔,空旷
opened	打开
opening	开盘 ,开幕的
openly	公然 ,摅诚
operating	操作 ,工作的
opinions	意见 ,看法
opportunity	机会 ,隙
opposing	反对 ,相反
opposite	相反 ,对立面 ,在 ... 对面
oppressed	被压迫 ,堵
or	或
orchard	果园,果树
orchards	果园
ordained	受戒 ,按立
order	秩序 ,顺序
orderly	秩序 ,勤务兵 ,利落
orders	订单 ,命令
ordinary	普通 ,等闲
organizing	组织 ,举办
original	原 ,原有
orthodox	正统 ,保守的
other	其他 ,另一样子
others	他人 ,其余
other's	其他的
ounce	盎司 ,两
our	我们的 ,敝
out	出 ,广大的,明显地,到 ... 外
outta	离开
outcome	结果 ,产物
outdistanced	凌驾
outdoor	户外 ,室外
outer	外 ,打倒
outfit	配备 ,旅行装备
outhouses	外屋
outlined	概述
outlines	概述 ,列出
outlook	展望 ,前途
outrage	愤怒 ,侮辱
outreached	外展服务
outside	外 ,外面
outsides	外侧
over	以上 ,剩余,外部的
overfeeding	过度喂食 ,超喂
overhanging	悬垂
overhauled	大修 ,检修
overhead	开销 ,在楼上
overloaded	超载
overlooked	忽视
overpowering	压倒性
overrunning	超限 ,侵占
overspilling	泻
overtake	超车,超过
overtaken	超越 ,追上
overthrow	推翻 ,打翻
overthrowing	推翻 ,颠覆
overthrown	推翻
overture	序曲 ,试探
overturning	倾覆 ,翻转
own	自己的 ,拥有,所有
owners'	业主立案法
pace	步伐 ,步行
pack	包 ,收拾
packed	满 ,嬴
packing	填料 ,填密
packs	包
paddocks	围场 ,牧场
pads	垫,焊盘
paid	支付
pain	疼痛,苦痛
painful	痛苦 ,酸痛
painfully	痛苦 ,费力地
pains	辛劳
painstakingly	精心 ,苦
pair	对 ,配对
pale	苍白 ,范围,砦
paled	苍白
pall	棺罩 ,覆盖
palmated	蹼
palpitant	发抖的
pampered	娇
pandemonium	乌烟瘴气
pangs	阵痛,痛苦
panic	恐慌 ,恐吓,惊慌的
pans	锅
panther	豹 ,美洲豹
panting	气喘吁吁 ,气短的
paradox	悖论 ,佯谬
parallel	并行 ,纬线,偩
parcels	包裹
parched	燥,炒过的
park	公园
paroxysms	发作,阵发性
part	部分,分开
part-grown	成长的部分
particle	粒子,助词
particular	特别,个别项目
particularly	尤其,独特地
partly	部分地
partners	合作伙伴
partnership	合伙,合作关系
partridges	鹧鸪
parts	部分
party	党的,当事人
pass	通过,关口
passage	通道,航程
passed	通过,过时的
passes	通过,传递
passing	通过,短暂的,非常
passion	情感,表感
passionate	多情,惛怓
passive	被动,被动式
passiveness	被动
past	过去,往,晚于
pastures	牧场,草场
patches	补丁
path	路径,走道
patience	忍耐,耐性
patted	拍拍
pause	暂停,休止符
paused	暂停
paws	爪子
pay	付,报酬
peace	和平,肃静
peaks	峰
peculiar	奇特,特有财产
peculiarity	特点,怪癖
peculiarly	特有的
peer	同行,窥视,同等的
peered	凝视
pellets	颗粒
pell-mell	乱七八糟地,杂乱的,极度紊乱
pencil	铅笔,画
penetrate	穿透,弥漫
penetrated	渗透
pent	压抑
people	人们,使住人
pepper-boxes	辣椒盒
perambulating	perambulating
perceived	感知
perceiving	感知
perceptibly	事倍功半
perches	栖息
peremptorily	一股脑
perfect	完美,完成式,醇化
performance	性能
performed	执行
perhaps	也许,恐怕
peril	冒险,岌
periods	期间
permanent	永久,常设
permitted	允许,合法的
permitting	允许
perpendicular	垂直,垂直的位置
perpetual	永久,永恒
perplexed	困惑,迷茫
persisted	坚持
persistent	一贯,固执
personal	个人,自身
pertinacity	顽固
pervaded	弥漫
pet	宠物,发脾气,亲昵的
petted	宠爱
petty	小气,零用
phrase	短语,用短语表达
physical	物理,体格检查
pick	挑,遴选
picked	挑,采摘的
picking	选择,采
piece	片,拼凑
pieces	件
pile	堆,拥挤
piled	堆积,堆着
pine	松,块垒,松的
pines	松树
pipe	管,吹笛
pipes	管道
pistol-shot	手枪杆
pitch	沥青,野营
pitched	倾斜的,沥青涂的
pivoting	枢轴
placatingly	placatingly
place	地方,放置
placed	放置
placer	砂矿,放置者
places	地方
plain	简单的,平川
plainly	分明
plaint	感叹,诉苦
plant	厂,栽种
play	玩,游玩
played	发挥
playfully	开玩笑
playing	打,游玩
plays	扮演
pleaded	承认
pleading	恳求
pleased	高兴,得意
plentee	plentee
plenty	丰富,济,非常
plethoric	过多的,过剩的
plight	困境,保证
ploughed	犁
pluck	采摘,胆量
plum	梅,直立地,梅色的
plunge	跳水,跳进
plunged	暴跌
plunging	暴跌
plus	加,附加的,正数
point	点,指出
pointed	尖
pointedly	有针对性地
pointers	指针
pointing	指着
points	点
poise	平衡,使 ... 平衡
poised	蓄势,旖旎
poked	戳
pole	极,用棒推
poled	极化
police	警察,维持治安
poling-boat	极化的船
politeness	礼貌,有礼貌
political	政治,政治犯
pompous	自大的,嘐
pooh	维尼
pool	水池,凑钱
pools	池
poor	差,贫民
poorer	较差
poplars	杨树
populous	人口稠密
porcupine	豪猪
position	位置,姿势
positive	积极,正片
possess	拥有,占有
possessed	拥有,着魔的
possession	所有权,领地
possibility	可能性,远景
possible	可能
possibly	或者,容许
potent	有力的,霸道
pouch-strings	袋字符串
pound	英镑,冲击
pounded	捣烂,捣碎
pounding	捣
pounds	英镑
pour	倒,倾泻
poured	倒
powdery	粉状,粉的
power	功率,强权
powerfully	有力,严词
practically	几乎,事实上
practised	熟练,精明
praise	赞美,表扬
prayed	祈祷
preaching	说教
precious	珍贵,非常,爱人
precipitate	沉淀,促成
preeminently	讲话
preferred	首选
pregnant	孕,大肚子
prejudices	偏见
preliminary	初步,初步行动
prepared	准备,将
preparing	准备,编制
presence	存在,光临
present	目前,介绍,当代
presenting	呈现
presently	目前,一会儿
preserver	保护者
pressed	按下,拮
pressing	压制,刻不容缓
pretty	漂亮,蛮,极好的东西
prevent	防止,免除
prevented	防止
previous	前,过急的
prey	猎物,捕食
preyed	捕食
preying	捕食
price	价格,行情
pricked	一竖
pride	自豪,使自夸
prided	引以为傲, 引以自豪
primeval	原始, 初期的
primitive	原始 , 原函数
primordial	原始 ,始基
principally	主要
prints	打印
private	私人 ,列兵
privilege	特权 ,给与 ... 特权
problem	问题 ,问题的
proceeded	进行
proceeding	进行
proceeds	所得款项 ,收益
proclaimed	宣布
proclaiming	宣讲
prodded	打了招呼 ,催促
profit	利润 ,获益
progeny	子孙 ,晜
progress	进步 ,演变
projected	预计 ,投影
prolonged	经久 ,拖延的
promise	承诺 ,约定
promises	承诺
prompt	提示 ,驱使 ,爽利
prompting	提示 ,促使
promptly	及时 ,连忙
prone	易于 ,倾向于
propelled	推动
propeller	螺旋桨 ,推进器
proper	正确 ,得当
property	财产 ,特性
proportion	比例 ,面积
proportions	比例
prosper	繁荣 ,兴盛
prospered	蓬勃发展 ,繁荣
prostrate	拜倒 ,沮丧的
protect	保护 ,捍卫
protected	保护 ,镇守
protection	保护 ,保护制度
protest	抗议 ,拒付
protested	抗议
protruded	突出 ,伸出
protruding	突出 ,凸
proud	骄傲 ,傲岸
proudly	傲然 ,昂然
proved	证明
provocation	挑衅 ,放火
prowess	实力
prowled	徘徊
pry	撬 ,窥探
ptarmigan	鹧
public	公众 ,公开
pug	泥料 ,跟踪追寻
pull	拉 ,张力
pulled	拉
pulling	拉 ,拖带
pullman	铂尔曼 ,卧车
pulse	脉冲 ,跳动
pumping	抽
punish	惩罚 ,惩戒
punished	处罚 ,惩罚
punishment	惩罚 ,刑罚
puppet	傀儡 ,木偶的
puppyhood	青年的自大时期
purposed	原定
purposely	故意 ,有意
pursued	追求
pursuit	追求 ,意兴
pushed	推
put	放 ,投击
putting	把
puzzled	困惑 ,荧
qed	QED
quality	质量 ,最高品质的
quarrel	吵架 , 拌嘴
quarrelled	争吵 ,吵架
quarrelling	争吵 ,吵架
quarry	采石场 ,挖出
quarter	季 ,驻防
quarters	住处
quaver	颤声 ,发抖
queek	queek
queen	女王 ,王后
quest	探索,寻求
quibble	狡辩 ,诡辩
quick	快,活人
quickened	加快 ,增速
quickly	很快 ,霍然
quickness	速度 ,爽利
quiet	安静 ,肃静
quietly	悄悄 ,肃静
quite	相当 ,的确
quivered	颤抖
quivering	颤颤巍巍
quoth	谈论
quoting	引用
rabbit	兔 ,野兔
race	竞赛 ,赛跑
raced	赛跑 ,比赛
races	种族
raft	筏 ,楂
rafted	筏
rage	愤怒 ,肆虐
raged	炸开了锅 ,激烈
ragged	褴褛 ,破烂
raging	熊熊 ,炽灼的
rail	轨 ,抱怨
railway	铁路
rain	雨 ,下雨
raised	凸
raisin	葡萄干
rake	耙 ,扫射
ram	公羊 ,撞击
rambles	漫步
rampant	猖獗 ,蔓生的
ramshackle	摇摇欲坠
ran	跑
rang	响了
range	范围 ,排列
ranged	不等
ranging	不等 ,归类于
rapid	快速 ,激流
rapidity	迅速
rapids	急流 ,险滩
rapped	厉声
rarely	很少 ,稀少
rashness	躁
rather	比较 ,未免
ration	配给 ,发放
rattled	叮叮当当
ravenous	饿坏了的 ,馋痨
raw	原 ,擦伤, 身上的痛处
reach	到达 ,范围
reached	达到
reaches	到达
reaching	到达
read	阅读 ,阅览 ,有学问的
reading	阅读 ,读书
ready	准备, 停当,现金
real	实 ,非常 ,真相
realities	现实
reality	现实 ,实际
realized	实现
really	真 ,果真
realm	境界 ,王国
rear	后 ,抚养
reared	饲养
rearing	饲养
rearranging	重新整理
reason	原因 ,合理
reasoned	理由
reassured	放心
rebel	反叛 ,造反者,造反的
rebels	叛军
rebound	篮板球 ,复原 ,重捆的
recalled	回忆
receding	后退
receive	接收 ,领取
received	收到 ,被认为标准的
receiving	接收 ,对
recesses	凹槽
recital	演奏会
recognize	认识 ,辨认
recognized	认可
recollections	回忆
record	记录 ,录音
recover	恢复 ,光复
recovered	恢复
recovery	复苏 ,重获
recuperated	调理
recuperation	休养
recurrent	复发
red	红色 ,朱红
red-eyed	红眼睛
red-handed	红手 ,人赃俱获
reeled	举步为艰
refreshed	刷新
refused	拒绝 ,不肯
refusing	拒绝
regained	收复
registering	注册 ,套版
regular	定期 ,合格
regularity	规律性
regularly	经常
reign	统治 ,朝
rejoin	归队 ,应答
rejoinder	反驳
relations	关系
relatively	相对 ,比较
relax	放松 ,缓和
relaxed	放松 ,轻盈
released	发布
releasing	释放 ,发布
relevant	相应  ,贴题
relief	缓解 ,地势
reluctantly	勉强 ,忍痛
remain	留 ,残留
remainder	其余 ,赢余
remained	保持
remarkable	卓越 ,不简单
remarkably	异常
remarked	说
remedy	补救 ,治疗
remember	记得 ,铭记
remembered	记得 ,想起
remnant	残余 ,遗物
remnants	残余
remonstrance	抗议 ,忠告
remotely	远程
remoter	偏远的
remotest	遥远
removed	删除 ,离开的
rend	烈 ,裂缝
rending	心碎
rent	租 ,房租,分裂
repeated	重复 ,沓
repeatedly	反复 ,不住
replaced	更换
replied	回答
replies	回复,答复
reply	回复,回答
repose	养神 ,休息
reproof	督 ,数说
repugnance	反感 ,厌恶
reputation	声誉 ,面子
required	需要 ,必要
requires	要求
rescue	营救 ,保全
rescued	获救 ,救出
resent	愤慨 ,恼恨
resented	愤慨 ,怨恨
reserve	储备 ,后备军,备用
reserved	保留的 ,含蓄
resided	居住
resiliency	弹性 ,弹力
resist	抵制 ,阻挡
resolutely	坚决 ,固
resolved	解决 ,断然的
resounding	高亢 ,轰动的
respect	尊重 ,尊敬
respectful	恭 ,夔
responded	回应 ,回答
responding	响应 ,回应
response	响应 ,应对
rest	其余 ,休憩
rested	休息 ,静置
resting	休息 ,休眠的
restlessly	躁动
restlessness	躁动 ,慌张
result	导致 ,成绩
resulting	导致 ,产生
resumed	恢复 ,继续
retained	保留
retaliate	报复 ,还击
retaliated	报复
retarded	智障 ,发展迟缓的
retarding	延缓
retraced	回抽
retreated	退守
retrogression	倒退
return	返回 ,回来
returned	返回 ,复原
returning	返回
revelation	启示 ,泄露
reverently	虔诚
revolt	起义 ,反叛
revolver	左轮手枪
revolver-shot	左轮手枪杆
rewarded	奖励 ,回报
rhythm	韵律 ,旋律
rib	肋骨 ,装肋骨
ribbons	丝带
ribs	肋骨 ,骨子
rid	摆脱,使免除
riddled	千疮百孔
ride	骑,骑马
ridiculous	可笑 ,滑稽
riding	骑术
riding-whip	马鞭
rifle	步枪 ,来福枪
rift	裂痕 ,裂缝
right	右,直接,纠正
rigorous	严格 ,严峻
rim	边 ,为 ... 之边
ring	环 ,听起来
rink	溜冰 ,滑冰场
riotously	暴动
ripe	成熟 ,发达
ripped	撕开
ripping	翻录
rippling	荡漾
rips	撕裂 ,裂口
rise	上升 ,发展
rising	攀升 ,高涨的
risk	风险 ,冒 ... 之险
risks	风险
rival	对手, 媲美,竞争的
river	河
rivers	河流
road	道路,马路
roamed	漫游
roar	吼 ,咆哮
roared	大吼
roaring	咆哮 ,咆哮的
rob	抢 ,剽
robbed	被抢
robbing	抢劫
robe	长袍 ,装饰
robes	长袍
rock	岩石 ,摇动
rocking	摇摆
rocks	岩石
rode	骑着
rolled	推出 ,轧制
rolling	滚动的 ,波荡
rolls	卷 ,卷筒
romance	浪漫 ,冒险故事
romped	轻而易举
roof	屋顶 ,盖屋顶
room	房间 ,住宿
roosted	栖
rope	绳 ,拉拢
ropes	绳索
rose	玫瑰 ,玫瑰色的
rotted	腐烂
rotten	烂 ,槁
rough	粗暴 ,蛮
roughly	大致 ,粗糙地
rounded	四舍五入
roundly	严厉 ,圆圆地
rouse	振奋 ,奋起
roused	惊醒 ,激昂
routed	路由
rove	流浪 ,漫游于
roved	忙得不亦乐乎  ,高地游弋
rows	行
royal	皇族 ,王室的
rubbed	擦 ,揉
ruction	乱子 ,复兴
rule	排除 ,裁定
ruled	排除 ,统治
run	运行 ,跑步
runners	亚军 ,选手
running	运行 ,跑的
runs	运行
rush	赶 ,灯心草
rushed	赶到 ,贸然的
rushes	七嘴八舌 ,奔涌
rushing	冲 ,旺盛的
rustled	簌簌作响
rut	发情 ,在 ... 形成车辙
ruthless	无情 ,残酷
sack	麻袋 ,解雇
sacked	落马
sacks	麻袋
sacredam	Sacredam
sacrificed	牺牲
sad	伤心 ,忧愁
safe	安全 ,保险箱,安然
safety	安全 ,安危
sagged	下垂
said	说
sakes	的缘故
salient	突出的 ,突出部
salmon	三文鱼 ,蛙鱼
saloon	轿车
saloon-keeper	轿车门将
saloon-keeper's	轿车门将的
salt	盐 ,腌,含盐的
same	同 ,同样的事物
san	圣
sang	唱了
sank	沉没 ,下沉了
santa	圣诞老人
sap	树液 ,使衰竭
sapped	大伤元气 ,削弱
sat	坐在
sated	吃饱 ,饱食
satisfaction	满意 ,满足
satisfied	满意 ,安
sausage	香肠 ,肠儿
savage	野蛮人 ,残暴
savagely	野蛮
savageness	野蛮
savagery	野蛮
savages	野人
save	节省 ,储蓄
saved	保存
savor	品尝 ,趣味
saw	锯 ,锯开
saw-logs	锯原木
saw-mill	锯木厂
say	说 ,发言权
saying	话 ,名言
says	说
scale	规模 ,延展
scaled	缩放
scales	秤
scarlet	猩红 ,赤
scarring	疤痕 ,结疤
scatter	分散 ,离散
scattered	零落 ,散漫
scattering	散射
scene	现场 ,风貌
scent	香味 ,发觉
scented	香
scenting	窨
scheme	方案 ,图谋
scholar	学者 ,读书人
schools	学校
score	得分 ,比分
scored	得分
scrambling	争先恐后 ,扰频
scraped	刮
scratched	划伤
scream	惊叫 ,呼啸
screamed	尖叫
screaming	尖叫
scruff	颈背
scum	浮渣 ,起泡沫
sea	海,  溟
search	搜索 ,寻找
searched	搜索
seasons	季节
second	第二 , 伯仲叔季,秒 , 拥护
seconded	借调
secrecy	保密 ,隐私
secret	秘密 ,分泌
secretly	偷偷 ,暗自
section	部分 ,章节
sections	部分
secure	安全 ,保险
secured	抵押
securely	牢固
see	看 ,看望
seed	种子 ,播种
seeing	看到
seek	寻求 ,查找
seeking	求
seem	似乎 ,仿佛
seemed	似乎
seeming	表面上的 ,假象
seems	似乎
seen	看到
seize	抢占 ,抢夺
seized	检
select	选择 ,挑拣
selected	选
self-appointed	自封
sensation	轰动 ,感情
sensations	感觉
sense	感觉,感到
sensed	感觉到
senseless	毫无意义的 ,糊涂的
senses	感官 ,神志
sensitive	敏感 ,识相
sent	发送
separate	分开 ,另外
separated	分离 ,睽
sequential	顺序
servants'	公务员
served	服务 ,担任
set	集 ,规定
setter	二传手
setting	设置 ,布景
settles	落户
seven	七
seventy	七十
several	几个 ,好几
severe	严重 ,严竣
severely	严重 ,严正
sex	性别 ,性交
sex-prerogative	性别特权
shade	阴 ,翳
shades	色调 ,深浅
shadow	阴影 ,盯梢
shadows	阴影
shaggy	毛茸茸 ,毵
shake	摇 ,撼
shaken	动摇 , 摇过
shaking	发抖 ,发抖的
shallow	浅 ,浅滩,粗浅
shambled	蹒跚 ,踉跄
shambling	步履蹒跚
shame	耻辱 ,抹黑
shape	塑造 ,形状
share	共享 ,股份
sharp	尖锐 ,激烈
sharply	大幅 ,截然
she	她 ,女人
shed	棚 ,散出
sheen	闪耀 ,皪,妵
sheep	羊 ,信徒
sheepishly	羞怯地 ,怯懦地
sheer	绝对 ,躲避
sheet	片 ,罩
shellfish	贝类 ,蜊
shelter	庇护 ,掩蔽
sheltered	庇护
sheltering	庇护
shep	夏普。
shepherd	牧羊人 ,领导
shifted	转移
shifting	转移
shining	发光的 ,彪炳
ship	船 ,运输
shipping	航运 ,船舶
shirked	推卸
shirks	推卸
shivered	瑟瑟发抖 ,颤栗着
shivering	发抖的
shock	震 ,休克,浓密的
shoes	鞋 ,屐
shone	闪耀着光芒，
shook	震撼,  摇摇
shoots	芽
shore	岸 ,撑持
shores	海岸 ,岸边
shoreward	向岸边
shorn	剪毛
short	短 ,简短
shorter	更短
short-haired	短发
short-legged	短腿
shortly	不久
shot	镜头
should	应该
shoulder	肩
shoulder-blade	肩胛骨
shoulders	肩膀
shouldn't	不能
shout	喊
shouted	喝道
shouting	叫喊
shove	推
show	显示
showed	显示
showing	显示
shown	所示
shreds	碎片
shrewd	精明
shrewdly	精明
shriek	尖叫
shrieked	尖叫
shrieking	尖叫
shrill	尖锐
shrouded	笼罩
shrubs	灌木
shrugged	耸了耸肩
shunned	避之唯恐不及
shutting	关闭
sick	生病
sickly	体弱多病
side	侧
sided	双面
sides	双方
sight	视力
sights	景点
sign	签署
signed	签署
signs	迹象
silence	沉默
silent	无声
silk	丝绸
silky	丝般
silly	愚蠢
silvery	银色
similar	类似
simple	简单
simply	简单地
simulated	模拟
simultaneous	同时
sin	罪
since	自
sinew	腱子
singed	烧焦
singing	歌唱
single	单
sings	唱
sing-song	卖唱
sink	下沉
sinking	下沉
sinks	汇
sir	先生
sister	妹妹
sister's	姐姐的
sit	坐
site	现场
sitting	坐在
situation	情况
six	六
sixteen	十六
sixty	六十
sixty-mile	60英里
size	大小
